,Unnamed: 0,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,is_recid,is_violent_recid
4012,4012,0,2,2,0,1,0,6,0,0,0,0,0,0
1760,1760,0,2,1,2,0,1,4,0,0,0,0,0,0
6521,6521,0,2,1,0,0,0,1,0,0,0,0,0,0
1850,1850,0,1,0,0,0,0,4,0,0,0,0,0,0
998,998,0,1,0,0,0,1,2,0,0,0,0,0,0
328,328,0,2,2,2,0,1,1,0,0,0,0,0,0
2831,2831,0,2,0,1,0,0,1,0,0,0,0,0,0
4192,4192,1,1,1,0,0,1,7,0,0,0,0,0,0
5888,5888,1,1,0,0,0,0,10,0,0,0,0,1,0
3330,3330,0,1,1,0,0,0,1,0,0,0,0,1,0
3032,3032,0,2,1,0,0,1,1,0,0,0,0,0,0
777,777,0,1,1,0,1,0,4,0,0,0,0,0,0
6083,6083,1,3,0,5,0,0,1,0,0,0,0,0,0
4566,4566,0,1,1,0,0,0,9,0,0,0,0,0,0
5518,5518,1,1,0,0,0,1,3,0,0,0,0,1,1
1879,1879,0,2,0,0,0,1,3,4,0,0,0,0,0
5762,5762,0,1,0,6,0,0,4,0,0,0,0,0,0
4758,4758,0,1,0,0,0,0,3,0,0,0,0,1,0
5415,5415,0,1,0,0,0,1,7,0,0,0,0,1,0
128,128,0,1,0,0,0,0,7,0,0,0,0,1,0
6648,6648,1,1,2,0,0,0,2,0,0,0,0,0,0
2041,2041,1,2,1,0,0,0,1,0,0,0,0,0,0
2980,2980,0,1,1,0,0,0,4,0,0,0,0,0,0
981,981,0,1,0,4,0,1,6,0,0,0,0,0,0
460,460,0,1,2,0,0,0,1,0,0,0,0,1,0
3855,3855,0,1,1,0,0,0,2,0,0,0,0,0,0
2581,2581,0,1,0,1,0,0,2,0,0,0,0,1,0
3678,3678,0,1,0,0,0,1,4,0,0,0,0,1,0
300,300,0,2,1,0,0,1,1,0,0,0,0,1,0
5334,5334,0,1,0,0,0,1,3,0,0,0,0,1,1
3740,3740,1,1,1,0,0,1,8,0,0,0,0,1,0
5970,5970,0,1,1,1,0,1,9,0,0,0,0,1,0
2519,2519,0,1,1,0,0,1,9,0,0,0,0,1,0
6839,6839,0,2,1,2,0,1,1,0,0,0,0,0,0
4089,4089,0,1,1,0,0,0,3,0,0,0,0,1,0
1660,1660,0,1,3,0,0,1,3,0,0,0,0,0,0
6782,6782,1,1,0,0,0,0,6,0,0,0,0,1,0
3956,3956,0,1,0,0,0,1,9,0,0,0,0,1,0
4541,4541,0,3,1,0,0,0,6,0,0,0,0,0,0
1793,1793,0,1,0,1,2,0,9,0,0,0,0,1,0
2026,2026,1,2,0,4,0,0,1,0,0,0,0,0,0
3505,3505,0,1,0,0,0,1,5,0,0,0,0,1,0
3511,3511,0,1,3,0,0,1,5,0,0,0,0,1,0
1957,1957,0,1,0,1,0,1,4,0,0,0,0,1,0
3962,3962,1,1,1,0,0,1,5,0,0,0,0,0,0
1352,1352,1,1,0,0,1,0,8,0,0,0,0,1,0
5121,5121,0,1,0,0,0,1,10,0,0,0,0,1,0
3076,3076,0,1,0,0,0,0,8,0,0,0,0,1,1
1880,1880,0,2,1,0,0,0,1,0,0,0,0,1,0
5392,5392,0,1,1,0,0,1,2,0,0,0,0,0,0
1786,1786,0,1,0,0,0,0,3,0,0,0,0,1,1
4095,4095,0,1,2,0,0,0,8,0,0,0,0,0,0
5512,5512,0,1,2,0,0,0,8,1,0,0,0,0,0
4526,4526,1,1,0,0,0,1,4,0,0,0,0,0,0
4609,4609,0,1,1,0,0,0,4,0,0,0,0,0,0
3707,3707,0,1,0,0,2,1,9,0,0,0,0,1,0
164,164,0,2,1,0,0,0,1,0,0,0,0,0,0
2527,2527,1,1,0,0,0,0,8,0,0,0,0,1,0
3813,3813,0,1,0,0,0,0,4,0,0,0,0,0,0
3341,3341,0,1,1,0,0,0,1,0,0,0,0,0,0
1565,1565,0,2,2,0,0,0,1,0,0,0,0,0,0
4852,4852,1,2,1,5,0,1,2,0,0,0,0,0,0
1100,1100,1,2,1,1,0,0,2,0,0,0,0,1,1
1153,1153,0,1,0,4,0,0,6,0,0,0,0,1,0
1799,1799,0,1,0,0,0,0,6,0,0,0,0,1,0
3354,3354,0,2,1,0,0,0,1,0,0,0,0,0,0
568,568,0,1,2,1,0,0,1,0,0,0,0,0,0
3149,3149,0,2,1,0,0,0,5,0,0,0,0,0,0
6008,6008,1,1,1,0,0,0,6,0,0,0,0,1,0
5395,5395,1,1,2,0,0,0,2,0,0,0,0,0,0
1307,1307,0,2,1,5,0,1,1,0,0,0,0,0,0
6765,6765,0,1,0,0,1,0,4,0,0,0,0,1,1
5880,5880,1,1,1,0,0,0,5,0,0,0,0,1,1
1482,1482,0,2,0,1,3,0,6,0,0,0,0,1,0
4028,4028,0,1,0,0,0,0,9,0,0,0,0,1,1
3690,3690,0,2,1,0,0,0,1,0,0,0,0,0,0
6579,6579,1,1,1,0,0,0,9,0,0,0,0,1,0
1304,1304,0,2,1,0,2,0,6,0,0,0,0,1,0
1228,1228,0,1,1,0,0,0,8,0,0,0,0,1,0
3663,3663,0,1,1,4,2,0,6,0,0,0,0,1,0
242,242,0,1,0,0,0,1,2,0,0,0,0,1,0
5711,5711,0,0,1,0,0,0,2,0,0,0,0,0,0
1846,1846,0,1,0,0,0,0,2,0,0,0,0,0,0
