,Unnamed: 0,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,is_recid,is_violent_recid
1309,1309,0,1,0,0,0,0,4,0,0,0,0,1,0
6353,6353,0,1,0,0,0,1,2,0,0,0,0,1,0
5860,5860,0,1,0,4,0,0,8,0,0,0,0,1,0
3835,3835,0,1,0,0,1,0,8,0,0,0,0,1,0
1029,1029,0,2,1,0,0,0,1,0,0,0,0,0,0
2440,2440,1,2,1,0,0,0,3,0,0,0,0,1,1
598,598,0,1,0,0,0,0,10,0,0,0,0,1,1
4879,4879,0,1,0,1,0,1,2,0,0,0,0,1,0
4114,4114,0,2,2,2,0,0,1,0,0,0,0,1,1
1664,1664,1,2,2,0,1,0,6,0,0,0,0,0,0
3536,3536,1,2,0,4,0,0,2,0,0,0,0,1,0
359,359,1,2,1,1,0,1,1,0,0,0,0,1,0
1930,1930,0,1,0,1,1,0,7,0,0,0,0,0,0
2970,2970,0,0,1,0,0,0,2,0,0,0,0,1,0
2733,2733,0,1,0,0,0,0,9,0,0,0,0,0,0
5511,5511,1,1,0,0,0,1,8,0,0,0,0,0,0
6022,6022,1,1,1,4,0,0,4,0,0,0,0,1,0
3812,3812,0,1,0,0,0,0,2,0,0,0,0,0,0
4106,4106,1,2,0,3,0,0,4,0,0,0,0,0,0
6286,6286,1,2,1,5,0,0,1,0,0,0,0,0,0
5805,5805,1,2,1,0,0,0,1,0,0,0,0,0,0
4964,4964,0,1,0,0,1,0,6,0,0,0,0,0,0
4217,4217,0,1,0,0,0,1,10,0,0,0,0,1,0
4717,4717,1,2,0,0,1,1,9,0,0,0,0,0,0
5011,5011,0,1,0,0,1,0,9,0,0,0,0,1,1
2458,2458,0,2,0,0,1,0,1,0,0,0,0,1,0
2986,2986,0,1,2,0,0,1,2,0,0,0,0,1,0
4848,4848,0,1,1,0,0,1,2,0,0,0,0,1,0
5395,5395,1,1,2,0,0,0,2,0,0,0,0,0,0
6573,6573,0,1,1,0,0,1,3,0,0,0,0,0,0
1408,1408,0,1,0,5,0,0,3,0,0,0,0,0,0
6267,6267,1,1,0,0,0,0,6,0,0,0,0,1,0
3614,3614,0,1,1,0,0,0,7,0,0,0,0,1,0
6056,6056,0,1,0,0,0,0,9,0,0,0,0,0,0
2531,2531,0,2,0,0,0,1,1,0,0,0,0,0,0
4782,4782,1,1,0,0,0,1,2,0,0,0,0,0,0
4922,4922,0,1,2,1,0,0,2,0,0,0,0,0,0
7,7,0,2,3,1,0,0,4,0,0,0,0,0,0
4179,4179,1,1,0,0,0,1,6,0,0,0,0,1,0
4577,4577,0,1,0,0,0,0,7,0,0,0,0,0,0
4431,4431,0,1,0,0,0,0,2,0,0,0,0,0,0
874,874,0,1,0,0,0,1,2,0,0,0,0,1,1
6166,6166,0,3,0,1,0,1,1,3,0,0,0,1,1
5879,5879,0,2,1,1,0,1,5,0,0,0,0,1,1
1334,1334,1,1,1,0,0,0,4,0,0,0,0,1,0
202,202,0,1,0,2,1,0,9,0,0,0,0,0,0
3855,3855,0,1,1,0,0,0,2,0,0,0,0,0,0
2985,2985,0,2,1,1,1,0,2,0,0,0,0,1,1
6803,6803,0,2,2,5,0,1,6,0,0,0,0,1,0
6155,6155,0,1,0,0,0,1,5,0,0,0,0,1,0
3045,3045,0,1,3,0,0,1,8,0,0,0,0,1,1
2510,2510,0,2,0,0,0,0,5,0,0,0,0,1,0
5394,5394,0,1,0,0,0,0,5,0,0,0,0,0,0
3494,3494,0,1,0,0,1,1,7,0,0,0,0,1,1
1070,1070,0,1,0,0,0,0,2,0,0,0,0,0,0
5460,5460,1,1,1,0,0,1,6,0,0,0,0,0,0
1498,1498,0,2,0,0,1,0,7,0,0,0,0,1,0
2876,2876,0,1,2,0,0,1,2,0,0,0,0,1,0
6601,6601,0,1,0,0,0,1,4,0,0,0,0,1,1
2151,2151,0,1,0,0,0,0,5,0,0,0,0,1,0
3644,3644,0,1,1,0,0,1,5,0,0,0,0,0,0
2161,2161,0,1,1,0,0,0,1,0,0,0,0,0,0
6835,6835,0,2,0,0,0,1,5,2,0,0,0,0,0
1109,1109,0,1,0,0,0,0,9,0,0,0,0,1,0
684,684,0,1,1,0,0,0,2,0,0,0,0,1,1
5443,5443,0,1,0,0,2,0,9,0,0,0,0,1,0
1169,1169,0,0,0,0,0,0,3,0,0,0,0,0,0
5599,5599,0,1,3,0,0,1,2,0,0,0,0,0,0
5609,5609,0,1,0,0,2,1,4,0,0,0,0,1,0
3649,3649,0,1,1,0,0,0,4,0,0,0,0,0,0
5958,5958,0,2,2,0,0,1,2,0,0,0,0,0,0
4345,4345,1,1,0,1,0,0,1,0,0,0,0,0,0
1304,1304,0,2,1,0,2,0,6,0,0,0,0,1,0
296,296,0,2,3,2,0,0,2,0,0,0,0,1,0
5084,5084,0,1,0,0,0,0,9,0,0,0,0,1,1
460,460,0,1,2,0,0,0,1,0,0,0,0,1,0
6330,6330,0,2,2,1,0,1,1,0,0,0,0,0,0
827,827,0,1,0,1,0,0,9,0,0,0,0,1,1
5229,5229,1,1,1,0,0,1,4,0,0,0,0,1,0
2356,2356,0,1,0,0,0,0,4,0,0,0,0,0,0
968,968,0,1,2,0,0,0,2,0,0,0,0,0,0
1781,1781,0,2,0,1,0,0,1,0,0,0,0,0,0
1789,1789,0,2,1,0,1,0,7,0,0,0,0,1,0
1776,1776,0,3,1,5,0,1,1,0,0,0,0,0,0
3527,3527,0,2,3,2,0,1,1,0,0,0,0,0,0
3106,3106,0,2,2,0,1,1,2,0,0,0,0,1,1
5928,5928,0,1,0,0,2,0,8,0,0,0,0,1,1
2639,2639,0,1,1,0,0,0,4,0,0,0,0,0,0
1851,1851,0,0,1,0,0,0,5,0,0,0,0,1,0
5059,5059,0,2,1,0,0,1,1,0,0,0,0,1,0
384,384,0,1,0,0,0,0,7,0,0,0,0,0,0
1862,1862,0,1,0,0,0,1,7,0,0,0,0,0,0
3579,3579,0,2,0,0,1,0,4,0,0,0,0,0,0
4779,4779,0,1,1,0,0,0,5,0,0,0,0,1,0
3811,3811,1,1,0,0,0,0,3,0,0,0,0,1,0
3893,3893,0,1,0,0,0,1,3,0,0,0,0,1,0
1143,1143,1,1,0,0,0,0,10,0,0,0,0,0,0
4479,4479,1,1,0,0,0,0,8,0,0,0,0,1,0
4704,4704,0,1,0,0,0,0,1,0,0,0,0,0,0
4734,4734,1,0,3,0,0,1,5,0,0,0,0,0,0
