,Unnamed: 0,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,is_recid,is_violent_recid
2378,2378,0,1,1,0,0,1,3,0,0,0,0,0,0
3714,3714,0,2,1,1,0,0,1,0,0,0,0,0,0
4533,4533,1,1,0,0,0,0,10,0,0,0,0,1,0
1231,1231,1,1,0,0,0,0,2,0,0,0,0,0,0
4301,4301,0,2,0,0,2,0,8,0,0,0,0,1,0
6082,6082,0,1,0,0,0,1,4,0,0,0,0,0,0
4496,4496,0,1,0,0,0,0,6,0,0,0,0,0,0
6604,6604,0,1,0,0,1,0,9,0,0,0,0,1,0
3152,3152,1,1,1,0,0,0,10,0,0,0,0,0,0
5157,5157,0,1,2,0,0,0,1,0,0,0,0,0,0
258,258,1,2,0,0,0,0,2,0,0,0,0,0,0
3708,3708,0,1,0,0,0,1,4,0,0,0,0,1,1
3262,3262,0,1,1,0,0,0,3,0,0,0,0,0,0
1535,1535,0,1,0,0,0,0,5,0,0,0,0,0,0
6810,6810,1,1,0,0,0,0,8,0,0,0,0,1,1
4955,4955,0,0,0,0,0,0,9,0,0,0,0,1,0
2267,2267,0,2,1,0,0,1,3,1,0,0,0,1,0
998,998,0,1,0,0,0,1,2,0,0,0,0,0,0
377,377,0,1,0,0,0,0,9,0,0,0,0,1,0
4541,4541,0,3,1,0,0,0,6,0,0,0,0,0,0
4806,4806,0,2,2,1,0,1,1,0,0,0,0,0,0
3277,3277,0,1,0,2,1,0,10,0,0,0,0,0,0
5266,5266,0,1,0,0,0,0,5,1,0,0,0,1,0
5377,5377,0,1,1,0,0,0,7,0,0,0,0,1,1
5533,5533,0,1,0,0,0,0,3,0,0,0,0,1,0
2525,2525,1,1,1,0,0,0,7,0,0,0,0,0,0
281,281,0,0,0,0,0,0,5,0,0,0,0,1,0
5087,5087,0,2,0,0,0,0,6,0,0,0,0,1,0
1332,1332,1,2,1,0,0,0,1,0,0,0,0,0,0
997,997,0,1,1,0,0,1,2,0,0,0,0,1,0
5049,5049,0,1,1,0,0,0,8,0,0,0,0,0,0
815,815,0,2,1,0,0,0,2,0,0,0,0,0,0
