,Unnamed: 0,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,is_recid,is_violent_recid
6031,6031,0,1,0,0,1,0,10,0,0,0,0,1,0
3461,3461,1,1,2,1,0,1,1,0,0,0,0,1,0
4908,4908,0,1,0,0,0,0,8,0,0,0,0,1,0
4248,4248,0,1,0,0,0,0,2,0,0,0,0,1,1
673,673,0,1,0,0,1,0,8,0,0,0,0,1,1
5738,5738,0,1,0,4,0,0,7,0,0,0,0,0,0
131,131,0,2,1,0,0,0,2,0,0,0,0,1,0
4551,4551,1,1,0,0,0,0,9,0,0,0,0,1,0
4187,4187,0,1,1,0,0,1,3,0,0,0,0,0,0
4800,4800,0,1,2,1,0,0,2,0,0,0,0,0,0
5663,5663,0,1,1,0,1,0,4,0,0,0,0,1,0
255,255,0,1,2,0,0,0,7,0,0,0,0,0,0
5063,5063,0,2,1,2,0,1,1,0,0,0,0,0,0
5274,5274,1,1,1,0,0,0,8,0,0,0,0,1,0
4166,4166,0,1,0,0,0,0,7,0,0,0,0,0,0
5230,5230,0,1,0,0,0,0,3,0,0,0,0,1,0
2208,2208,1,0,0,0,0,0,5,0,0,0,0,0,0
4833,4833,0,3,2,1,0,1,1,0,0,0,0,0,0
6700,6700,1,1,2,0,0,0,3,0,0,0,0,0,0
3011,3011,0,2,1,0,0,0,5,0,0,0,0,0,0
931,931,1,1,0,0,0,0,4,0,0,0,0,0,0
2008,2008,0,1,3,0,0,0,7,0,0,0,0,0,0
4254,4254,0,2,1,2,0,0,2,0,0,0,0,1,0
2507,2507,0,2,0,1,0,0,1,0,0,0,0,1,0
115,115,0,1,0,0,2,0,10,0,0,0,0,1,0
952,952,0,1,2,0,0,0,5,0,0,0,0,1,0
1987,1987,0,0,1,0,0,0,2,0,0,0,0,1,0
1330,1330,0,1,0,0,0,1,9,0,0,0,0,0,0
5218,5218,0,1,1,0,1,0,5,0,0,0,0,1,0
3341,3341,0,1,1,0,0,0,1,0,0,0,0,0,0
47,47,0,1,0,4,0,0,4,0,0,0,0,0,0
5846,5846,0,1,1,0,0,0,2,0,0,0,0,1,0
6474,6474,1,1,3,0,0,0,1,0,0,0,0,0,0
2723,2723,0,1,0,0,0,0,8,0,0,0,0,1,0
5635,5635,0,3,1,5,0,1,1,0,0,0,0,0,0
4647,4647,0,1,0,0,0,0,7,0,0,0,0,0,0
2858,2858,0,2,0,0,0,1,6,0,0,0,0,1,1
4912,4912,0,1,0,0,1,1,3,0,0,0,0,1,1
2326,2326,0,1,0,0,0,0,4,0,0,0,0,1,0
5648,5648,0,2,0,0,0,1,1,0,0,0,0,1,0
3295,3295,0,1,0,0,0,0,8,0,0,0,0,1,0
5610,5610,0,3,2,0,0,1,1,0,0,0,0,0,0
4129,4129,0,1,2,0,0,0,2,0,0,0,0,1,0
1776,1776,0,3,1,5,0,1,1,0,0,0,0,0,0
4754,4754,0,1,3,0,0,1,1,3,0,0,0,0,0
6509,6509,1,2,1,1,0,1,1,0,0,0,0,0,0
3774,3774,0,1,1,0,1,0,8,0,0,0,0,1,0
832,832,1,1,0,0,0,0,3,0,0,0,0,0,0
4373,4373,0,2,0,0,1,1,8,0,0,0,0,1,0
4321,4321,0,2,0,0,0,0,1,0,0,0,0,0,0
3599,3599,0,1,0,0,0,0,6,0,0,0,0,1,0
388,388,0,2,1,0,0,0,1,0,0,0,0,1,0
5499,5499,1,1,2,0,0,1,3,0,0,0,0,0,0
6162,6162,0,2,1,0,0,0,1,0,0,0,0,1,0
220,220,0,2,1,0,1,0,4,0,0,0,0,1,0
4047,4047,1,1,0,0,0,0,7,0,0,0,0,1,1
1804,1804,0,1,1,0,0,1,7,0,0,0,0,0,0
4372,4372,1,1,0,0,0,0,3,0,0,0,0,0,0
6789,6789,0,1,3,0,0,1,2,0,0,0,0,0,0
221,221,0,2,0,3,0,0,4,0,0,0,0,0,0
272,272,0,1,1,0,0,0,1,0,0,0,0,0,0
6622,6622,1,1,0,0,0,0,3,0,0,0,0,0,0
1208,1208,0,1,0,1,0,0,3,0,0,0,0,1,0
835,835,0,1,0,0,0,0,9,0,0,0,0,0,0
4334,4334,1,1,0,0,0,0,3,0,0,0,0,1,0
523,523,1,2,2,1,0,0,1,1,0,0,0,0,0
4853,4853,0,1,0,1,0,0,3,0,0,0,0,1,0
2184,2184,0,1,0,0,0,0,2,0,0,0,0,1,0
4992,4992,0,1,1,5,1,0,10,0,1,0,0,1,0
3836,3836,1,2,1,0,0,0,5,0,0,0,0,0,0
6617,6617,0,1,1,0,0,1,4,0,0,0,0,0,0
1834,1834,0,1,0,0,0,0,9,0,0,0,0,0,0
2000,2000,0,2,3,2,0,0,1,0,0,0,0,0,0
1051,1051,0,2,0,0,0,0,2,0,0,0,0,0,0
3077,3077,1,2,2,2,0,0,1,3,0,0,0,0,0
5641,5641,0,2,1,0,0,1,1,0,0,0,0,0,0
4028,4028,0,1,0,0,0,0,9,0,0,0,0,1,1
4326,4326,0,1,1,1,0,0,3,0,0,0,0,0,0
1507,1507,0,2,2,0,0,1,1,0,0,0,0,0,0
4705,4705,0,0,0,0,0,0,7,0,0,0,0,1,1
3786,3786,0,2,1,2,0,0,1,0,0,0,0,0,0
5211,5211,0,1,2,0,0,0,5,0,0,0,0,0,0
3251,3251,0,2,0,0,1,1,4,0,0,0,0,1,0
1108,1108,0,1,1,0,0,1,2,0,0,0,0,0,0
5329,5329,0,1,0,0,0,1,2,0,0,0,0,0,0
6060,6060,0,1,0,0,0,0,4,0,0,0,0,0,0
1406,1406,0,3,1,0,0,0,3,0,0,0,0,0,0
4418,4418,1,1,1,0,0,1,9,0,0,0,0,1,0
3262,3262,0,1,1,0,0,0,3,0,0,0,0,0,0
395,395,1,1,0,0,0,0,2,0,0,0,0,1,0
2625,2625,0,1,1,0,0,0,5,0,0,0,0,0,0
6493,6493,1,2,1,0,0,1,1,0,0,0,0,0,0
2037,2037,0,2,1,4,0,0,1,0,0,0,0,0,0
2947,2947,0,2,2,0,0,0,1,0,0,0,0,0,0
333,333,0,2,0,0,0,0,3,0,0,0,0,0,0
56,56,0,3,0,0,1,1,7,0,0,0,0,1,0
5335,5335,0,1,0,0,0,0,10,0,0,0,0,1,0
6492,6492,0,1,0,0,0,1,4,0,0,0,0,1,0
6038,6038,0,2,1,0,0,0,4,0,0,0,0,0,0
1193,1193,0,1,1,0,0,1,4,0,0,0,0,0,0
2715,2715,0,2,1,5,1,0,7,0,0,0,0,1,0
1625,1625,0,1,2,0,0,0,3,0,0,0,0,0,0
2178,2178,0,1,0,0,0,0,6,0,0,0,0,1,0
6365,6365,0,2,1,0,0,0,7,0,0,0,0,1,0
1026,1026,0,2,2,2,0,1,1,0,0,0,0,0,0
4034,4034,0,1,1,0,0,1,6,0,0,0,0,1,1
507,507,0,1,1,0,0,0,3,0,0,0,0,1,0
1868,1868,0,1,0,4,0,1,3,0,0,0,0,1,0
3808,3808,0,1,0,0,0,1,2,0,0,0,0,1,1
202,202,0,1,0,2,1,0,9,0,0,0,0,0,0
1900,1900,1,2,0,0,1,0,8,0,0,0,0,1,0
1814,1814,0,1,1,4,0,0,5,0,0,0,0,1,0
3831,3831,0,1,0,6,0,1,1,0,0,0,0,1,0
953,953,0,2,2,1,0,1,1,7,0,0,0,0,0
2404,2404,0,1,3,1,0,1,1,0,0,0,0,0,0
1003,1003,1,2,1,5,3,1,6,0,0,0,0,1,0
5183,5183,0,1,0,0,1,1,6,0,0,0,0,0,0
