execution time
400 51.52325201034546 369.8022768497467
500 2.0330581665039062 4.525141000747681
600 1.9613440036773682 4.540417909622192
700 1.7848460674285889 4.139214038848877
800 1.320439100265503 3.453092098236084
900 1.4248309135437012 3.7334651947021484
1000 1.3999269008636475 3.7866928577423096
1100 1.4916458129882812 3.872684955596924
1200 1.5097291469573975 4.177263259887695


number of patterns
400 900225 3772024
500 20463 43953
600 17680 34833
700 15435 27936
800 11229 20669
900 11508 20545
1000 11447 20173
1100 11481 20059
1200 11555 20059
