execution time
400 0.6748642921447754 1.5480530261993408
500 0.2855567932128906 0.6622378826141357
600 0.26514697074890137 0.631662130355835
700 0.2678828239440918 0.6398568153381348
800 0.24816083908081055 0.6148133277893066
900 0.26459598541259766 0.6391282081604004
1000 0.2825179100036621 0.6785309314727783
1100 0.26700592041015625 0.6935570240020752
1200 0.2682380676269531 0.7199249267578125


number of patterns
400 12315 21393
500 4536 6359
600 4008 4849
700 3795 4194
800 3379 3481
900 3428 3481
1000 3451 3481
1100 3459 3481
1200 3459 3481
