age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
65,0,14,10,3,0,4,2,1,22610,1924,48,23,0,[1]
32,2,9,13,4,3,1,4,1,0,0,55,38,1,[0]
73,4,1,16,5,2,0,3,1,75619,4161,75,12,0,[1]
35,2,1,7,5,13,1,4,1,0,0,90,38,0,[1]
47,2,15,10,2,11,0,4,1,0,0,60,38,0,[1]
35,1,2,4,2,0,3,0,0,82540,3969,5,27,1,[0]
44,2,8,2,3,11,1,2,1,60857,2110,53,40,1,[0]
32,2,1,7,2,2,0,4,1,0,0,40,38,0,[1]
29,3,8,12,0,10,4,2,0,50041,1926,43,19,1,[0]
68,4,6,9,0,0,3,3,1,42213,3411,72,6,0,[1]
46,4,11,9,2,2,0,4,1,0,0,48,38,1,[0]
34,2,15,10,2,3,0,4,1,0,0,40,38,0,[1]
36,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
55,2,4,1,6,3,3,1,1,71290,3572,44,23,0,[1]
27,5,14,9,5,13,4,1,0,35318,1837,99,14,1,[0]
62,0,2,12,4,7,3,3,1,37384,2517,24,29,0,[1]
31,2,9,13,2,9,0,4,1,0,0,40,38,1,[0]
64,4,0,6,2,9,0,4,1,0,0,10,38,1,[0]
37,6,3,13,1,10,4,0,1,72279,2905,52,1,1,[0]
25,5,3,14,4,11,1,2,1,62361,2211,28,36,0,[1]
49,2,14,15,2,9,0,4,1,0,0,45,38,0,[1]
39,2,15,10,2,2,0,4,1,0,0,40,38,0,[1]
83,1,8,9,6,4,2,3,0,41115,648,5,21,1,[0]
35,2,1,11,2,6,5,3,0,31380,1784,51,12,1,[0]
40,2,11,9,2,2,0,4,1,0,0,40,38,1,[0]
47,2,11,9,2,2,0,4,1,0,0,40,38,0,[1]
42,5,14,5,4,12,2,2,0,70185,720,99,39,1,[0]
41,2,7,12,4,2,1,4,1,0,0,48,38,0,[1]
42,2,5,4,2,5,0,4,1,0,0,99,38,0,[1]
37,3,9,13,4,7,1,4,0,0,0,50,38,1,[0]
48,0,15,10,2,2,0,4,1,0,0,40,38,1,[0]
34,2,9,13,2,0,0,4,1,0,0,37,38,0,[1]
33,2,11,9,2,11,0,4,1,0,0,44,38,1,[0]
44,0,15,10,2,2,0,4,1,0,0,40,38,0,[1]
60,1,13,1,0,9,5,0,1,59382,4000,8,11,0,[1]
61,1,11,9,2,9,0,4,1,0,0,30,38,1,[0]
37,4,3,11,3,3,0,3,1,53860,2031,37,1,1,[0]
63,4,11,9,2,4,0,4,1,0,0,45,38,0,[1]
44,5,14,15,5,3,3,4,1,6655,1582,92,40,0,[1]
21,1,2,10,2,12,5,2,0,38021,2813,84,26,0,[1]
49,1,9,13,2,9,0,4,1,0,0,50,38,0,[1]
40,2,9,13,2,12,0,4,1,0,0,40,38,0,[1]
88,2,9,10,6,5,3,2,1,16515,2923,48,28,1,[0]
74,4,2,15,1,6,5,1,1,56522,1725,25,6,1,[0]
29,6,12,16,0,1,3,2,0,77997,2645,85,4,1,[0]
40,6,9,5,5,0,1,2,0,16926,1000,13,7,1,[0]
64,2,14,15,2,3,0,4,1,0,0,60,38,0,[1]
58,5,1,7,4,8,5,1,0,48030,1000,91,7,0,[1]
29,4,13,12,4,4,2,1,0,59748,2243,75,35,0,[1]
34,1,8,3,0,11,1,1,0,46583,1478,42,30,1,[0]
38,6,11,3,6,4,2,2,0,30616,2144,52,22,0,[1]
59,2,2,7,1,9,2,3,0,14711,3341,91,21,1,[0]
73,1,0,2,3,0,1,2,0,64678,3134,88,27,1,[0]
84,3,1,3,1,5,3,0,0,82786,2427,62,30,1,[0]
51,2,11,9,2,11,0,1,1,0,0,50,0,0,[1]
64,2,11,9,2,13,0,4,1,0,0,16,38,0,[1]
40,5,9,13,2,9,0,4,1,0,0,40,38,1,[0]
90,4,14,15,2,9,0,4,1,20051,0,45,38,1,[0]
50,1,11,15,3,2,3,3,1,8475,431,47,38,1,[0]
53,3,10,16,2,11,0,1,1,0,0,40,18,1,[0]
83,6,9,2,5,11,2,4,0,97843,2525,44,12,1,[0]
71,2,4,3,3,3,1,4,1,44225,1414,15,22,1,[0]
28,1,7,4,0,13,2,0,0,75846,1421,90,36,1,[0]
36,1,6,5,2,2,0,4,1,0,0,25,38,0,[1]
73,5,4,10,2,8,4,0,0,49610,795,34,20,1,[0]
36,0,15,10,2,5,0,4,1,0,0,50,38,0,[1]
49,0,12,14,2,0,0,4,1,0,0,40,38,1,[0]
60,3,2,16,4,6,5,2,1,21650,1048,85,39,1,[0]
34,2,12,14,4,9,1,4,1,0,2258,50,38,0,[1]
