age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
58,2,4,15,0,5,0,3,1,44442,2432,26,33,0,[1]
70,6,14,15,0,0,0,2,1,90026,1453,79,37,0,[1]
60,2,7,12,2,0,0,4,1,0,0,40,38,1,[0]
32,2,9,12,0,12,2,0,0,36080,814,75,11,0,[1]
37,5,3,12,1,6,0,3,0,76612,869,65,27,0,[1]
34,2,11,9,2,2,0,4,1,0,0,40,10,0,[1]
40,6,14,2,4,7,3,4,1,59664,492,5,33,1,[0]
41,2,9,13,2,2,0,4,1,0,0,40,38,1,[0]
56,2,0,6,2,11,5,1,0,0,0,30,23,1,[0]
38,2,11,9,2,12,0,4,1,0,0,40,38,0,[1]
51,2,15,10,2,13,0,4,1,0,2603,40,38,0,[1]
71,5,4,1,1,0,5,3,0,28503,4124,83,37,0,[1]
52,2,15,10,2,12,0,2,1,0,0,40,38,1,[0]
33,3,14,12,3,11,2,2,0,76198,1589,38,2,0,[1]
36,5,9,13,2,11,0,4,1,0,0,40,38,0,[1]
80,0,15,1,6,7,4,4,1,54785,2024,39,40,0,[1]
72,4,4,16,4,7,4,1,1,52901,2615,6,22,0,[1]
83,2,11,15,5,10,3,2,1,67626,1513,82,7,1,[0]
43,2,15,10,2,2,0,4,1,0,0,45,30,1,[0]
32,3,4,15,3,10,2,0,0,35532,3057,64,30,0,[1]
37,4,11,9,2,6,0,4,1,0,0,40,38,0,[1]
63,3,11,10,4,9,4,3,0,30036,1064,47,9,0,[1]
37,2,11,9,2,2,0,4,1,0,0,40,38,1,[0]
71,6,8,7,0,4,1,1,1,11743,2774,73,16,1,[0]
65,6,12,12,1,2,4,4,1,70101,4249,13,20,0,[1]
26,3,0,3,5,7,5,0,0,57422,819,31,36,1,[0]
81,6,6,4,4,11,1,2,0,83750,689,22,26,0,[1]
67,5,11,9,2,3,0,4,1,3456,0,35,38,0,[1]
36,4,15,10,2,2,0,4,1,0,0,60,38,0,[1]
20,2,15,16,4,6,4,3,1,90113,4017,54,15,0,[1]
62,4,14,10,4,11,5,0,1,8674,1660,68,2,1,[0]
21,0,0,11,2,0,4,4,1,26793,1474,76,15,0,[1]
39,0,4,12,5,10,2,1,1,8990,349,31,5,1,[0]
34,1,5,16,3,8,2,1,1,99,3313,79,16,0,[1]
55,2,8,11,2,9,0,4,1,0,0,40,38,1,[0]
78,4,6,10,1,4,1,2,0,46422,1348,87,11,0,[1]
48,1,4,15,6,9,4,3,0,90559,2014,43,18,1,[0]
82,4,13,11,0,5,0,3,1,37948,1975,78,34,0,[1]
49,2,11,9,2,11,0,4,1,0,0,40,38,0,[1]
49,2,12,14,2,9,0,4,1,0,0,40,38,0,[1]
23,5,12,5,0,3,5,4,0,34568,179,7,40,0,[1]
55,0,9,13,3,3,1,2,1,0,0,40,38,1,[0]
44,4,11,9,2,2,0,4,1,0,0,55,38,0,[1]
34,2,12,14,0,3,1,4,0,2202,0,40,38,0,[1]
34,6,11,9,6,8,4,0,1,47252,2934,1,10,0,[1]
54,1,15,10,2,0,5,2,0,0,0,55,38,1,[0]
62,6,7,12,2,11,4,3,0,38512,1297,30,37,0,[1]
57,6,4,14,0,2,4,4,0,53014,1412,67,1,1,[0]
80,0,11,8,1,3,3,0,0,76510,4214,90,24,0,[1]
57,2,15,10,2,10,0,4,1,0,0,50,38,0,[1]
31,2,9,13,2,2,0,4,1,0,0,40,38,1,[0]
57,0,12,12,0,7,2,4,1,76669,1407,9,37,1,[0]
75,3,5,7,0,1,5,1,0,47011,2496,57,1,0,[1]
82,1,10,9,1,8,5,0,0,56051,4318,55,19,1,[0]
64,6,15,1,1,13,3,4,0,66115,3742,12,7,1,[0]
36,1,12,14,2,9,5,4,0,0,0,40,38,0,[1]
87,4,0,6,2,10,5,4,1,1161,2453,97,18,1,[0]
34,2,10,16,2,9,0,4,1,0,0,50,38,1,[0]
84,6,0,10,0,10,3,2,1,28186,57,69,30,1,[0]
33,3,1,8,0,0,0,2,1,63105,783,59,1,0,[1]
52,2,15,10,0,11,2,4,0,0,0,20,38,1,[0]
32,2,9,13,2,11,0,4,1,0,0,40,38,1,[0]
48,5,6,12,2,8,4,1,0,3473,1692,26,28,0,[1]
57,4,15,10,2,12,0,4,1,0,0,38,38,1,[0]
43,6,15,10,5,10,2,4,1,10573,3468,39,14,1,[0]
59,2,4,12,4,7,2,0,0,71425,1450,62,36,1,[0]
81,1,3,6,2,10,2,3,1,30636,2067,12,32,1,[0]
32,4,2,15,5,0,1,0,1,84831,2116,35,32,1,[0]
90,6,3,15,5,10,2,4,0,69657,1440,82,23,1,[0]
78,0,14,14,6,4,5,4,1,16794,3151,35,21,0,[1]
37,4,2,16,0,2,0,4,1,7095,139,50,18,0,[1]
43,2,15,10,2,11,0,0,1,0,0,40,38,0,[1]
35,5,6,8,5,3,5,3,1,56067,3065,41,24,1,[0]
29,2,11,9,0,7,4,4,0,0,0,99,38,0,[1]
70,0,3,6,4,10,5,0,0,49778,900,46,8,1,[0]
41,1,5,13,6,12,3,1,0,49652,554,51,39,0,[1]
68,6,6,16,2,2,2,0,0,74393,952,62,6,1,[0]
57,4,11,9,2,2,0,4,1,0,0,60,38,0,[1]
39,2,11,9,2,9,0,4,1,0,0,45,38,0,[1]
58,4,11,9,2,11,0,4,1,0,0,72,38,1,[0]
34,2,9,13,4,11,1,4,1,0,0,38,38,0,[1]
59,2,15,10,0,11,1,4,1,0,0,56,38,0,[1]
53,6,2,14,2,10,1,1,1,27676,2867,86,31,1,[0]
78,6,3,12,1,12,3,0,0,51481,2383,81,12,1,[0]
23,6,7,10,2,0,0,0,0,53187,785,48,3,1,[0]
77,1,15,10,2,10,0,4,1,0,0,20,38,0,[1]
77,3,0,12,2,5,0,1,0,4066,3079,44,33,0,[1]
47,5,3,7,0,6,3,4,0,37545,3965,17,23,1,[0]
34,2,15,13,1,12,3,1,0,26397,583,81,23,1,[0]
38,2,14,15,2,11,5,4,0,0,0,40,38,0,[1]
30,0,5,4,2,8,5,4,1,45966,1071,68,14,0,[1]
44,2,9,13,2,11,0,4,1,0,0,60,38,1,[0]
37,2,9,13,2,3,0,2,1,0,0,40,38,1,[0]
52,0,1,14,0,5,2,3,1,94753,2766,2,21,0,[1]
81,5,7,2,0,8,2,2,0,1222,3663,73,33,0,[1]
51,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
32,2,6,13,5,5,1,0,1,64122,1182,80,2,1,[0]
58,0,9,9,5,13,0,2,1,19670,1258,30,4,1,[0]
55,1,11,6,0,11,3,1,0,58961,4346,89,32,0,[1]
66,1,3,4,2,3,2,1,1,35968,4045,91,23,1,[0]
44,5,12,14,2,0,0,4,1,0,0,40,38,1,[0]
35,2,7,12,1,0,5,4,0,0,0,40,38,0,[1]
30,0,8,13,0,10,0,1,1,60744,4336,46,26,0,[1]
36,5,10,13,1,8,0,0,1,88796,4210,25,9,0,[1]
74,5,3,15,2,4,4,1,1,18709,2513,52,13,0,[1]
87,1,2,1,1,6,2,0,1,54932,1402,5,4,1,[0]
88,1,9,14,3,10,5,4,0,33307,511,4,3,1,[0]
26,1,8,13,6,1,4,1,1,88770,350,38,34,1,[0]
29,2,12,14,2,3,0,4,1,0,0,45,10,0,[1]
65,1,8,15,3,2,5,2,0,87036,1077,16,24,1,[0]
52,5,9,13,2,10,0,4,1,0,0,40,38,0,[1]
59,2,11,9,2,0,0,4,1,0,0,45,38,1,[0]
53,2,11,9,2,9,0,4,1,0,0,50,38,0,[1]
59,4,0,5,3,11,2,1,1,41948,2010,96,31,0,[1]
50,2,9,13,2,9,0,4,1,0,0,40,38,1,[0]
29,0,15,11,1,11,5,3,0,67304,4075,86,39,0,[1]
46,5,14,9,0,10,1,3,1,3353,686,10,6,1,[0]
58,2,9,13,6,2,1,4,1,0,0,40,38,1,[0]
37,0,1,8,4,7,2,3,1,93351,2088,85,10,0,[1]
38,1,9,13,2,2,0,1,1,0,0,40,29,0,[1]
30,4,11,9,2,11,0,4,1,0,0,50,38,0,[1]
61,2,5,9,2,6,2,2,1,42006,3628,21,27,0,[1]
42,2,12,14,0,11,1,4,1,0,0,50,38,0,[1]
52,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
47,2,7,12,0,11,3,4,1,0,0,44,38,0,[1]
69,3,15,12,2,11,5,3,1,94054,3381,78,18,0,[1]
46,5,8,10,6,6,1,3,0,21141,603,2,6,1,[0]
55,2,9,13,2,11,0,4,1,0,0,40,38,1,[0]
25,4,0,11,1,9,2,3,1,94459,2160,97,28,1,[0]
87,5,6,9,1,9,3,1,0,38811,3094,46,14,0,[1]
40,5,9,13,2,9,0,4,1,0,0,40,38,1,[0]
44,3,12,6,6,11,1,3,1,67914,986,66,28,0,[1]
44,2,15,10,2,11,0,4,1,0,0,55,38,1,[0]
53,1,11,9,2,3,0,0,1,0,0,48,38,0,[1]
42,3,11,6,3,7,1,1,1,95163,3517,9,0,0,[1]
40,3,11,9,2,11,0,4,1,0,0,50,38,1,[0]
34,3,9,13,4,9,1,3,1,0,0,60,38,0,[1]
57,0,7,3,2,10,3,1,0,28431,3539,97,19,0,[1]
79,5,10,14,5,1,0,2,0,28046,2501,12,12,0,[1]
27,1,10,7,1,7,1,2,1,5849,2672,97,31,1,[0]
43,2,9,13,0,11,1,4,0,0,0,50,38,0,[1]
28,0,4,1,5,8,0,0,0,38364,4091,34,6,0,[1]
39,2,11,9,2,3,0,4,1,0,0,40,38,0,[1]
40,2,9,13,4,11,1,3,0,0,0,55,38,1,[0]
50,2,9,13,4,3,1,4,1,0,0,50,38,1,[0]
51,6,5,12,4,3,2,1,0,51622,3837,62,0,0,[1]
35,4,11,7,2,3,0,1,0,40565,3134,48,3,1,[0]
56,2,9,13,2,9,0,4,1,0,0,50,38,0,[1]
34,3,15,11,2,8,4,2,1,55433,38,36,20,1,[0]
47,1,10,16,4,9,4,4,0,0,0,40,38,0,[1]
27,4,15,10,2,3,0,4,1,0,0,45,38,1,[0]
56,2,15,10,2,0,5,4,0,0,0,35,38,1,[0]
53,0,12,1,4,13,0,3,1,45196,371,62,32,1,[0]
57,3,5,3,4,7,2,3,1,41394,3179,98,11,1,[0]
32,2,15,10,2,3,0,4,1,0,0,40,38,1,[0]
82,1,9,15,3,13,5,0,1,93430,2233,72,18,0,[1]
37,2,7,12,4,3,1,4,0,0,0,50,38,1,[0]
45,5,4,4,4,10,0,3,0,53092,1345,38,3,1,[0]
34,2,9,13,2,9,5,2,0,0,0,35,38,0,[1]
42,0,9,12,0,6,3,3,0,4066,4102,11,36,0,[1]
41,2,11,9,2,2,0,4,1,0,0,40,38,1,[0]
65,4,3,13,6,12,4,1,1,55005,4320,9,31,1,[0]
77,6,14,3,1,11,2,2,0,28032,357,3,7,0,[1]
38,2,9,7,2,11,5,2,0,50975,3037,55,12,0,[1]
62,5,2,11,2,13,5,2,1,78243,1193,53,20,0,[1]
41,3,1,16,4,6,0,1,1,65625,4344,25,33,0,[1]
57,3,15,1,2,8,1,2,1,71542,3425,94,28,1,[0]
49,3,1,12,5,3,5,3,0,81137,1388,86,36,1,[0]
53,0,10,2,4,12,5,4,1,33375,606,80,9,0,[1]
77,3,13,12,1,1,3,2,1,60298,2521,85,19,1,[0]
70,4,0,13,2,2,3,0,1,29182,4279,73,30,1,[0]
54,2,15,14,1,0,0,1,0,17320,1332,29,11,0,[1]
