age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
34,0,6,15,3,1,3,4,0,73509,4218,52,23,1,[0]
74,5,3,9,1,11,5,3,0,46416,879,33,25,0,[1]
30,2,15,10,4,11,1,4,1,0,0,50,38,0,[1]
55,2,0,6,2,7,5,2,0,0,0,40,38,0,[1]
45,3,14,12,5,13,5,0,0,66097,3055,24,26,0,[1]
54,4,8,6,3,4,4,2,0,90134,1684,92,28,1,[0]
71,3,8,9,1,0,1,3,1,60737,989,74,12,1,[0]
90,0,9,1,6,7,0,1,1,5935,3536,28,34,1,[0]
64,6,3,14,5,9,3,1,0,15635,3206,18,22,0,[1]
30,2,9,13,2,0,5,4,0,0,0,40,38,0,[1]
36,6,9,2,5,10,1,2,1,48992,898,30,26,0,[1]
59,1,10,11,5,6,2,4,1,16928,184,2,7,0,[1]
23,3,8,1,0,13,4,2,0,63430,681,93,10,1,[0]
32,1,4,10,0,13,5,2,0,10016,3376,40,25,0,[1]
33,4,15,10,2,3,0,4,1,0,0,45,38,0,[1]
77,3,3,11,0,10,2,3,1,1911,2844,69,4,0,[1]
25,5,1,3,2,5,3,0,0,70210,1448,95,5,0,[1]
77,4,4,10,0,10,3,0,0,1730,3173,95,33,0,[1]
32,6,0,15,2,0,4,3,0,45045,3524,63,22,0,[1]
41,3,10,2,6,10,1,3,1,24323,3282,7,8,0,[1]
41,2,9,13,2,0,0,4,1,0,0,40,38,0,[1]
27,2,10,5,3,4,3,2,0,71284,2183,6,19,1,[0]
88,1,6,14,1,6,1,0,0,35570,4211,24,1,1,[0]
39,0,8,11,2,9,0,4,1,0,0,50,38,0,[1]
48,2,10,16,2,9,0,1,1,0,0,40,18,1,[0]
24,5,2,7,2,10,4,3,0,50845,369,31,0,1,[0]
54,1,15,10,5,8,4,4,1,52453,1499,75,0,1,[0]
47,5,12,14,5,9,1,4,1,0,0,38,38,0,[1]
34,4,10,5,0,2,2,4,1,33731,2360,22,20,1,[0]
54,0,0,10,0,2,5,2,1,74934,774,89,5,1,[0]
19,0,15,5,0,6,3,3,0,11136,2693,4,13,0,[1]
37,5,9,13,2,9,0,4,1,0,0,55,38,1,[0]
73,1,10,5,5,11,3,2,0,12792,3408,42,1,1,[0]
69,4,9,12,4,5,4,2,1,55820,32,51,8,0,[1]
30,3,8,8,6,4,4,3,1,4318,3627,29,24,1,[0]
28,4,14,6,3,6,0,3,1,24490,1992,23,34,0,[1]
80,2,7,6,1,0,5,2,1,35372,3076,37,18,1,[0]
68,3,6,15,2,13,5,4,1,35349,29,96,19,1,[0]
31,4,9,7,2,4,0,1,0,60356,3183,85,33,0,[1]
48,2,11,9,2,3,0,4,1,0,0,50,38,1,[0]
54,5,8,6,1,5,0,2,1,36836,855,74,29,1,[0]
76,5,11,12,1,3,0,2,0,59191,1929,28,32,1,[0]
69,0,3,7,1,4,2,4,1,8976,1437,29,24,1,[0]
58,3,8,6,2,6,5,0,1,43676,2515,69,8,0,[1]
32,2,11,9,2,6,0,4,1,0,0,40,38,1,[0]
83,0,12,12,0,9,1,1,0,33616,1738,78,16,1,[0]
25,0,2,4,6,12,5,0,1,53911,3124,55,16,0,[1]
48,6,8,12,0,8,1,1,1,53729,2977,16,27,0,[1]
41,2,15,10,2,9,0,4,1,0,0,40,38,0,[1]
23,5,14,6,6,7,3,2,1,97325,478,99,39,1,[0]
81,0,0,4,4,7,4,0,1,33912,2387,40,33,1,[0]
38,3,0,12,0,2,0,1,1,29448,3369,99,9,0,[1]
77,1,6,14,3,12,2,0,0,622,650,81,20,0,[1]
30,4,14,10,0,1,4,0,1,3142,466,27,10,1,[0]
52,3,9,13,4,3,1,4,1,0,0,40,38,0,[1]
84,4,8,2,6,3,1,3,1,14876,4191,35,27,0,[1]
57,4,12,3,0,10,3,3,0,7379,3307,31,24,0,[1]
20,2,9,16,1,13,2,1,1,92269,146,84,23,0,[1]
41,3,5,14,3,9,4,1,0,59584,2353,58,29,1,[0]
56,2,15,10,2,12,0,4,1,0,0,45,38,0,[1]
30,2,11,9,2,5,0,4,1,0,0,60,38,0,[1]
57,6,0,9,0,4,1,4,0,11901,2293,41,5,0,[1]
79,6,4,14,4,0,2,1,0,80152,3496,54,12,1,[0]
74,0,14,11,0,12,1,2,0,10697,4201,2,24,1,[0]
65,2,2,2,0,10,4,3,1,66762,1494,43,22,1,[0]
33,2,9,13,4,11,1,4,1,0,0,45,38,1,[0]
26,5,3,9,4,12,2,0,0,88880,1967,77,17,1,[0]
36,1,1,7,6,11,5,1,0,11128,295,26,3,0,[1]
31,4,15,10,2,11,0,2,1,0,0,60,38,1,[0]
33,1,8,1,5,4,5,1,0,76151,3241,62,13,0,[1]
20,2,6,11,1,2,0,3,0,80993,543,89,35,0,[1]
84,5,5,16,2,7,2,0,1,41192,1735,7,3,0,[1]
88,6,8,5,2,13,1,2,0,73630,1539,81,21,0,[1]
