age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
26,3,9,12,1,13,5,3,1,77362,1875,32,0,1,[0]
45,2,0,6,2,2,0,4,1,0,0,60,38,0,[1]
40,2,15,10,2,7,0,4,1,0,1485,40,38,0,[1]
35,2,15,10,5,9,4,4,0,0,0,45,38,1,[0]
56,5,15,10,0,0,1,4,0,0,2339,40,38,0,[1]
34,6,4,3,6,1,2,4,1,20530,3333,12,20,1,[0]
52,1,14,7,0,10,5,2,1,82308,1455,18,12,1,[0]
55,6,2,12,0,12,0,0,1,61820,3318,50,35,1,[0]
62,2,3,2,2,5,0,4,1,0,0,40,25,0,[1]
50,2,7,12,0,11,1,4,0,0,0,40,38,0,[1]
75,0,14,16,0,8,0,3,0,87228,2157,65,8,1,[0]
83,4,6,16,5,3,1,3,0,82311,1806,23,22,1,[0]
41,2,9,13,2,9,0,4,1,0,0,40,10,0,[1]
52,2,11,9,2,6,0,4,1,0,0,40,38,1,[0]
58,2,9,13,2,12,0,4,1,0,0,40,38,1,[0]
70,5,1,5,2,9,2,2,0,16185,1497,26,37,0,[1]
57,6,15,4,0,10,0,1,1,83783,1186,78,6,0,[1]
47,2,11,9,0,11,4,4,0,0,0,45,38,0,[1]
27,2,12,14,2,9,0,1,1,0,0,40,16,1,[0]
37,2,15,10,2,11,5,4,0,0,0,40,38,1,[0]
31,2,15,10,2,2,0,4,1,0,0,40,38,1,[0]
28,2,11,9,2,6,0,2,1,0,0,40,38,0,[1]
46,6,10,2,3,6,4,4,0,6911,4123,7,26,0,[1]
35,2,15,10,2,12,0,4,1,0,0,40,38,1,[0]
44,0,9,13,2,3,0,4,1,0,0,40,38,1,[0]
64,5,9,13,2,0,0,4,1,0,0,40,38,0,[1]
35,2,9,13,4,3,1,4,1,0,0,50,38,0,[1]
33,6,6,9,4,7,1,4,1,4971,4051,71,4,0,[1]
42,2,12,14,2,9,0,4,1,0,0,40,38,0,[1]
39,2,11,9,2,6,0,4,1,0,0,43,38,0,[1]
28,2,1,7,2,3,0,4,1,0,0,50,38,1,[0]
70,6,1,6,0,7,2,0,1,81490,702,12,1,0,[1]
50,2,11,9,2,13,0,4,1,0,0,40,38,1,[0]
39,1,12,14,2,9,0,4,1,0,0,40,38,0,[1]
34,2,9,13,2,3,5,4,0,0,0,40,38,0,[1]
36,2,11,9,0,9,3,4,0,0,0,40,38,1,[0]
35,2,15,10,2,11,0,4,1,0,0,48,38,1,[0]
45,0,12,14,0,3,1,4,1,0,0,40,38,1,[0]
