age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
24,4,11,15,5,6,3,2,1,69194,918,43,25,0,[1]
29,2,12,14,2,3,0,4,1,0,0,45,10,0,[1]
17,0,6,1,2,6,5,1,1,56036,2790,48,2,1,[0]
87,3,11,8,6,8,5,1,0,36721,3596,16,0,1,[0]
47,2,8,11,2,5,0,4,1,0,0,40,38,0,[1]
30,2,8,11,2,3,0,4,1,0,0,50,38,1,[0]
34,2,14,10,2,2,1,3,0,82106,3096,57,31,1,[0]
40,5,12,14,2,9,0,4,1,0,0,58,38,0,[1]
35,2,11,9,2,3,0,4,1,0,0,40,38,0,[1]
59,1,12,14,0,9,1,4,1,0,0,40,38,1,[0]
47,2,9,13,4,11,2,4,0,0,0,40,38,0,[1]
21,5,10,15,0,9,4,4,1,81003,2427,33,12,0,[1]
48,2,15,10,2,13,0,2,1,0,0,40,38,0,[1]
69,1,6,3,3,3,2,0,0,48078,203,22,2,1,[0]
28,2,9,13,2,11,0,4,1,0,0,50,38,1,[0]
73,4,10,16,2,9,0,4,1,0,0,28,38,1,[0]
34,1,8,11,2,7,0,4,1,0,0,40,38,1,[0]
25,6,2,1,4,8,2,2,1,18757,1939,89,33,1,[0]
74,1,11,3,5,13,0,4,0,36541,3154,57,33,0,[1]
47,4,5,4,2,1,4,4,0,22621,681,51,23,0,[1]
53,2,15,10,2,2,0,4,1,0,0,40,38,0,[1]
36,2,11,9,2,2,0,4,1,0,0,40,38,1,[0]
43,2,15,10,2,9,0,4,1,0,0,40,38,1,[0]
81,2,9,16,3,6,1,2,1,87967,1141,17,19,1,[0]
38,4,2,8,3,2,3,4,1,22597,3976,12,5,0,[1]
58,3,15,10,2,13,5,4,0,0,0,40,38,1,[0]
53,3,7,1,5,5,4,2,0,36655,3570,80,7,0,[1]
81,3,12,6,3,7,3,2,0,13991,4090,60,30,0,[1]
39,5,7,16,6,6,1,1,0,46120,3367,54,32,1,[0]
73,4,8,14,2,3,1,1,1,68750,1701,21,24,1,[0]
27,6,1,4,4,8,2,2,0,66455,981,7,2,0,[1]
28,2,15,10,2,3,0,4,1,0,0,48,38,0,[1]
39,0,9,13,2,0,5,1,0,0,0,40,29,0,[1]
36,2,9,13,4,9,1,4,0,0,0,45,38,1,[0]
87,2,14,6,3,4,3,0,1,11027,4203,22,34,0,[1]
78,5,12,11,4,3,1,0,1,91830,3214,76,39,1,[0]
67,4,5,2,5,1,0,2,1,73638,779,45,28,1,[0]
44,2,11,9,2,2,0,4,1,0,0,70,38,1,[0]
39,0,15,15,2,0,2,0,1,67970,3337,2,17,0,[1]
67,4,2,11,4,3,2,4,0,94644,808,79,7,1,[0]
