,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23463,0,2,1,7,2,13,0,4,1,0,0,2,38,0
34538,0,1,11,9,5,0,1,4,0,4,0,2,38,0
1617,0,2,7,12,4,0,1,4,1,0,0,2,38,0
45002,1,5,15,10,0,0,3,4,1,0,0,2,38,0
16027,0,2,9,13,2,0,0,4,1,4,0,2,38,1
44285,1,2,15,10,2,2,0,4,1,0,0,2,38,1
1809,0,1,15,10,4,0,3,4,0,0,0,1,38,0
22705,1,2,11,9,2,13,0,4,1,0,0,2,38,1
17657,0,2,12,14,2,9,0,4,1,0,0,3,38,1
23816,1,2,15,10,0,3,4,4,0,0,0,2,10,0
19159,1,4,14,15,2,9,0,4,1,0,0,2,38,1
32030,0,2,4,3,0,5,4,4,1,0,0,2,25,0
12507,0,2,12,14,0,3,1,4,0,0,0,2,38,0
36324,1,0,11,9,0,0,1,2,0,0,0,2,38,0
37103,0,2,15,10,4,5,3,2,0,0,3,1,38,0
28650,1,2,11,9,4,3,1,4,0,0,0,2,38,0
14231,0,2,15,10,2,3,0,4,1,0,0,2,38,0
6037,1,2,11,9,4,3,3,4,1,0,0,2,38,0
23702,1,2,11,9,0,6,3,2,1,0,0,2,38,0
23871,1,1,11,9,2,2,0,4,1,0,0,2,38,0
20873,0,2,8,11,2,3,0,4,1,0,0,2,38,0
21434,0,2,9,13,4,7,3,4,0,0,0,1,38,0
6671,2,0,3,2,2,0,0,2,1,0,0,2,32,0
25732,0,2,15,10,4,7,3,4,1,0,0,1,38,0
44548,0,1,8,11,2,0,5,4,0,0,0,1,38,0
35897,0,2,9,13,0,11,1,1,1,0,0,2,2,0
24457,0,2,9,13,2,9,0,4,1,4,0,2,38,0
44716,0,0,12,14,2,3,0,4,1,4,0,3,38,1
41470,1,2,11,9,0,11,4,2,0,0,0,2,38,0
37700,1,2,3,2,5,4,1,2,1,0,0,2,38,0
33390,0,2,1,7,4,5,1,4,1,0,0,2,38,0
27705,1,2,9,13,4,9,1,4,0,0,0,2,38,1
4787,1,2,9,13,2,3,0,4,1,0,0,2,38,1
28970,1,2,11,9,2,6,0,4,1,0,0,2,38,0
1672,1,2,7,12,2,9,5,4,0,0,0,2,38,1
29308,2,2,15,10,6,9,1,4,0,0,0,0,38,0
1823,1,1,12,14,2,9,0,4,1,0,0,1,38,0
35312,0,2,8,11,4,12,3,4,0,4,0,1,38,0
24228,0,3,15,10,4,3,1,4,1,0,0,3,4,0
752,1,2,9,13,2,3,0,4,1,0,0,2,38,1
41515,2,2,11,9,0,3,1,4,0,0,0,2,38,0
40382,1,2,11,9,2,2,0,4,1,0,0,2,38,0
16410,0,2,9,13,4,9,3,1,1,0,0,2,38,0
36753,0,5,10,16,2,9,0,4,1,0,3,3,38,1
18471,1,2,11,9,0,10,3,4,1,0,0,2,38,0
44370,1,0,9,13,2,9,0,4,1,0,0,2,38,1
10595,1,3,9,13,2,3,0,4,1,0,0,3,38,0
28070,1,2,11,9,2,2,0,4,1,0,0,2,38,1
41839,1,4,11,9,2,3,0,4,1,0,0,2,25,0
17111,0,2,9,13,4,3,3,4,0,0,0,2,38,0
14342,0,0,15,10,4,12,3,4,1,0,0,1,38,0
43618,1,5,7,12,2,11,0,4,1,0,0,2,38,1
45208,1,2,11,9,2,6,0,4,1,0,0,2,25,0
43318,0,2,11,9,4,13,1,4,1,0,0,1,38,0
9869,2,2,15,10,2,10,0,4,1,0,0,2,38,0
6235,1,4,11,9,2,4,0,4,1,0,0,4,38,0
5127,0,2,15,10,4,7,3,4,0,0,0,2,38,0
39278,0,2,11,9,6,7,4,2,1,0,0,2,38,0
39450,1,2,15,10,2,0,0,4,1,0,0,2,38,0
38291,1,0,15,10,2,2,0,4,1,0,0,2,38,0
25183,0,2,9,13,2,9,5,4,0,0,0,2,38,1
17276,1,2,0,6,2,7,0,4,1,0,0,2,25,0
19878,0,2,11,9,2,6,0,3,1,0,0,2,25,0
44852,0,2,15,10,4,0,3,4,0,0,0,1,38,0
3992,0,2,1,7,4,13,3,1,1,0,0,2,29,0
30122,0,0,9,13,4,9,3,4,0,0,0,2,38,0
37955,1,2,6,5,2,6,0,4,1,0,0,2,38,0
11070,2,2,11,9,2,0,0,4,1,0,0,2,38,0
26952,0,2,15,10,2,11,5,4,0,0,0,2,38,0
37642,1,4,7,12,5,11,1,2,1,0,0,1,38,0
2597,2,2,15,10,6,9,1,4,1,0,3,2,38,0
138,0,2,1,7,2,7,5,2,0,0,0,1,38,0
41946,1,2,12,14,0,3,4,2,0,0,0,3,38,1
9466,0,2,11,9,4,3,1,4,1,0,0,2,38,0
27059,1,4,11,9,0,11,4,2,1,0,0,2,38,0
10389,1,2,11,9,2,9,0,4,1,0,0,2,38,0
39601,1,2,11,9,2,6,0,2,1,0,0,2,38,0
42637,0,4,11,9,2,11,0,4,1,0,0,3,38,0
43694,0,2,15,10,0,3,1,4,1,4,0,2,38,1
33185,1,2,1,7,4,13,1,4,1,0,0,2,38,0
41070,1,2,15,10,2,3,0,4,1,0,0,2,38,0
42395,0,2,15,10,4,9,1,4,0,0,0,2,38,0
16379,0,0,7,12,2,0,5,4,0,0,0,2,38,1
33525,1,2,1,7,2,6,0,4,1,0,0,1,38,0
11880,0,2,15,10,4,7,4,4,0,0,0,1,38,0
25737,0,2,9,13,4,11,1,4,1,0,0,2,38,1
13531,0,2,15,10,0,11,4,4,0,0,0,2,38,0
40095,0,2,9,13,4,3,1,4,0,0,0,2,38,0
10297,0,2,4,3,2,6,0,4,1,0,0,2,25,0
942,0,2,15,10,0,6,4,4,0,0,0,1,38,0
25982,1,1,11,9,2,13,0,4,1,0,0,2,38,0
37733,1,4,9,13,2,11,0,4,1,0,0,2,38,1
2885,0,2,15,10,4,0,3,1,0,0,0,2,38,0
13720,1,4,12,14,2,3,0,4,1,4,0,2,38,1
27997,1,2,7,12,0,13,1,4,1,0,0,2,38,0
14157,1,2,11,9,2,5,0,4,1,4,0,2,38,1
5002,1,2,9,13,2,9,0,2,1,4,0,2,38,1
16787,0,2,15,10,0,0,1,4,0,0,0,2,38,0
36100,0,0,9,13,2,3,0,4,1,0,0,2,38,0
37385,1,2,11,9,2,2,0,4,1,0,3,2,38,0
39480,1,5,15,10,2,9,0,4,1,0,0,2,38,1
469,0,2,11,9,4,6,3,4,1,0,0,2,38,0
28198,0,2,11,9,4,5,1,4,1,0,0,2,38,0
7724,0,2,8,11,2,2,0,4,1,0,0,2,30,0
8230,1,2,9,13,0,9,4,2,0,0,0,1,38,0
27315,0,2,1,7,4,6,1,4,0,0,0,1,38,0
15127,0,2,15,10,4,6,1,4,1,0,0,2,38,0
3034,0,2,6,5,2,4,0,4,1,0,0,3,38,0
8973,1,0,7,12,5,0,4,2,0,0,0,2,38,0
25495,0,2,9,13,2,3,0,4,1,0,0,2,38,0
41084,2,2,11,9,6,7,4,2,0,0,0,1,22,0
4127,0,2,4,3,4,6,2,4,1,0,0,2,12,0
4109,0,0,15,10,4,3,3,4,1,0,0,0,38,0
15696,0,2,15,10,4,6,3,2,0,0,0,2,38,0
2887,1,2,11,9,2,6,0,4,1,0,0,2,38,0
1437,0,2,15,10,4,0,2,4,0,0,0,2,38,0
11243,0,2,11,9,2,7,0,4,1,0,0,2,38,0
26027,0,2,11,9,4,6,4,4,1,4,0,2,38,0
45167,0,2,11,9,4,2,2,2,1,0,0,2,38,0
44898,0,2,9,13,2,11,0,4,1,0,0,2,38,0
29723,1,2,11,9,2,2,0,4,1,0,0,2,38,1
29243,0,2,1,7,4,7,1,2,1,0,0,2,38,0
32437,0,2,15,10,4,11,3,4,1,0,0,2,38,0
2195,0,2,9,13,4,2,1,4,1,0,0,1,38,0
4528,2,1,9,13,4,9,1,4,0,0,0,3,38,1
20104,0,2,15,10,4,0,1,4,0,0,0,2,38,0
41862,0,1,11,9,4,5,4,1,1,0,3,2,38,0
39259,0,2,11,9,4,7,3,4,1,0,0,2,38,0
8046,1,2,12,14,0,7,1,2,0,0,0,0,38,1
20731,2,2,11,9,6,3,1,4,0,0,0,2,38,0
5920,0,4,6,5,4,7,3,2,1,0,0,1,38,0
4936,0,4,6,5,2,2,0,3,1,0,0,2,12,0
27010,1,2,11,9,2,11,0,4,1,0,0,2,38,0
12732,1,2,11,9,6,12,1,4,1,0,0,1,38,1
17133,0,0,15,10,4,3,1,4,0,0,0,2,38,0
7090,0,2,1,7,4,5,3,4,1,0,0,1,38,0
10740,0,2,9,13,4,3,1,4,0,0,0,3,38,0
17822,0,2,11,9,4,2,2,4,1,0,0,2,38,0
25363,2,2,15,10,6,8,4,4,0,0,0,0,38,0
19803,1,4,11,9,2,4,0,4,1,0,0,2,38,0
32507,0,2,9,13,4,0,1,4,0,0,0,2,38,0
38854,0,2,2,8,2,13,0,4,1,0,0,2,38,0
42313,0,2,11,9,4,13,1,4,0,0,0,2,38,0
41028,0,2,11,9,4,5,1,2,1,0,0,1,38,0
9518,2,2,15,10,6,11,1,4,1,0,0,0,38,0
13831,0,2,11,9,4,7,1,4,1,0,0,1,38,0
26129,0,2,11,9,2,2,0,4,1,0,0,2,38,0
5135,1,1,11,9,0,7,1,4,0,0,0,1,38,0
17292,1,2,11,9,4,11,3,4,0,0,0,2,38,0
