,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38475,0,2,15,10,2,2,0,4,1,0,0,2,38,0
1712,0,2,4,3,4,5,1,4,1,0,0,2,25,0
14579,1,4,7,12,0,9,4,4,1,0,0,2,38,0
35576,0,2,6,5,2,11,3,4,1,0,0,2,38,1
9038,1,2,11,9,2,13,0,4,1,0,0,2,38,0
33691,2,2,11,9,2,6,0,4,1,0,0,2,38,0
7154,0,2,13,1,4,7,4,4,1,0,0,1,7,0
38690,0,6,15,10,2,4,3,4,1,0,0,3,38,0
29505,1,2,6,5,3,6,4,2,1,0,0,3,13,0
6061,1,2,11,9,6,3,1,2,0,0,0,1,38,0
10317,0,2,6,5,2,2,0,4,1,0,0,2,38,0
14922,0,3,11,9,2,13,0,4,1,0,0,2,38,0
39873,0,2,3,2,4,7,4,4,0,0,0,2,7,0
15435,0,2,5,4,2,5,0,3,1,0,3,2,32,0
15828,1,2,9,13,0,9,1,4,0,0,0,2,38,1
26295,0,2,2,8,3,7,4,2,0,0,0,2,38,0
13498,0,2,15,10,4,7,1,4,1,0,0,1,38,0
13463,0,2,9,13,4,11,1,4,0,0,0,2,38,0
34548,0,2,15,10,4,7,3,4,0,0,0,0,38,0
43897,0,2,15,10,4,11,1,4,1,0,0,2,38,0
43063,1,2,15,10,0,3,4,4,0,0,0,2,38,0
45038,2,2,11,9,2,2,0,4,1,0,0,2,38,0
10498,0,2,11,9,2,0,0,4,1,0,0,2,38,0
6271,1,0,12,14,2,3,0,4,1,0,3,2,38,1
20833,0,2,15,10,4,10,3,4,0,0,0,1,38,0
38047,1,1,7,12,2,0,5,4,0,0,3,1,38,0
26348,0,2,12,14,2,9,0,4,1,4,0,2,38,1
8723,0,2,1,7,4,5,3,4,1,0,0,1,38,0
35304,0,0,15,10,0,7,1,2,1,0,0,2,38,0
2265,0,2,8,11,5,7,1,4,0,0,0,1,38,0
37413,1,2,9,13,2,3,0,4,1,0,0,2,38,0
36871,0,2,11,9,5,7,1,4,0,0,0,2,38,0
1974,1,4,11,9,2,11,0,4,1,0,0,3,38,0
20598,2,3,9,13,5,11,1,4,0,0,0,1,38,0
19484,1,0,15,10,0,9,1,4,1,0,0,2,38,1
42915,0,2,11,9,0,0,4,4,0,0,0,2,38,0
26271,0,2,15,10,4,9,3,4,0,0,0,2,38,0
28386,1,2,8,11,2,9,0,4,1,0,3,2,38,1
2445,2,4,9,13,2,9,0,4,1,0,0,1,38,0
20145,0,4,9,13,4,7,1,2,0,0,0,3,38,0
31612,0,2,11,9,2,11,0,4,1,0,0,2,38,1
3461,1,2,9,13,2,3,0,4,1,0,0,3,38,1
1844,1,2,15,10,0,0,4,4,0,0,0,2,38,0
9655,0,2,11,9,4,5,3,4,1,0,0,2,38,0
9504,1,2,0,6,4,13,1,4,1,0,0,2,38,0
41497,1,1,15,10,0,9,1,4,0,0,3,2,38,0
12931,1,2,15,10,2,9,0,4,1,0,0,2,38,1
3469,0,5,15,10,4,3,3,2,1,0,0,2,38,0
12401,0,2,11,9,4,5,2,2,1,0,0,2,38,0
991,1,5,12,14,2,0,0,4,1,4,0,2,38,1
8499,1,0,15,10,2,12,0,4,1,0,0,2,38,1
43272,0,2,11,9,4,6,3,4,0,0,0,1,38,0
23499,0,5,15,10,4,7,3,4,0,0,0,1,38,0
36720,0,1,15,10,4,0,4,2,0,0,0,2,38,0
250,1,5,12,14,4,3,1,4,1,0,0,1,38,0
15847,0,1,11,9,4,0,3,4,0,0,0,2,38,0
28502,1,4,9,13,2,3,5,4,0,0,0,2,38,1
32835,1,2,15,10,4,0,1,4,0,0,0,2,38,0
30503,0,2,11,9,0,13,1,2,1,0,0,2,38,0
34666,0,2,12,14,2,3,0,4,1,0,0,2,10,0
19204,1,1,9,13,2,9,0,1,1,0,0,1,18,0
17841,0,2,15,10,4,7,1,4,1,0,0,2,38,0
6318,0,2,11,9,2,13,0,4,1,0,3,2,38,1
698,2,2,11,9,2,3,0,4,1,0,0,2,38,0
43026,0,2,9,13,4,9,1,4,1,0,0,3,38,1
36267,0,2,4,3,4,7,3,4,1,0,0,2,25,0
26204,2,5,9,13,4,3,1,4,1,0,0,2,38,0
27993,0,2,1,7,4,13,1,4,1,0,0,3,38,0
28432,0,2,6,5,4,11,1,4,1,0,0,2,38,1
41217,1,2,9,13,2,3,0,2,1,0,0,2,38,1
6513,1,2,15,10,2,2,0,4,1,0,0,2,38,0
43178,1,2,11,9,2,7,0,4,1,0,0,3,38,0
7571,0,2,9,13,4,9,1,4,1,0,0,2,38,0
13394,0,2,15,10,4,9,1,2,1,0,0,2,38,0
1710,0,2,15,10,4,6,3,4,1,0,0,2,38,0
23774,2,2,5,4,2,2,0,4,1,0,0,2,38,0
26567,1,2,12,14,2,3,0,4,1,0,0,2,38,1
39063,0,2,11,9,4,2,1,4,1,0,0,1,38,0
14500,0,2,7,12,4,7,1,4,0,0,0,2,38,0
19282,0,1,11,9,2,7,5,4,0,0,0,1,38,0
9428,0,2,1,7,4,7,3,4,1,0,0,0,38,0
34590,0,2,11,9,4,6,1,2,0,0,0,2,38,0
43794,2,2,8,11,2,2,0,4,1,0,3,3,38,1
4282,0,2,15,10,2,2,0,4,1,0,0,2,5,0
7341,2,2,15,10,6,11,1,4,1,4,0,1,38,0
41503,0,2,15,10,4,6,1,4,1,0,0,2,38,0
10260,0,2,9,13,4,11,3,4,0,0,0,2,38,0
30448,1,5,8,11,2,2,0,4,1,0,0,2,38,0
22098,0,2,14,15,2,9,0,4,1,4,0,3,38,1
41232,1,2,15,10,0,0,4,4,0,0,0,2,38,0
22223,0,2,11,9,4,7,1,4,1,0,0,1,38,0
14266,2,2,9,13,0,0,1,4,0,0,0,1,38,0
40320,0,5,9,13,4,9,2,4,1,0,0,2,38,0
12598,2,1,11,9,2,7,0,4,1,0,3,2,1,0
35113,1,2,9,13,0,9,1,2,0,0,0,2,38,0
23519,0,2,11,9,4,5,1,4,1,4,0,3,38,0
18446,0,2,5,4,4,5,2,4,1,0,0,2,25,0
37403,1,2,9,13,0,3,1,4,1,0,0,2,38,1
13883,1,3,14,15,2,9,0,4,1,0,0,3,38,1
25475,1,2,11,9,4,3,1,2,0,0,0,2,38,0
43793,0,2,11,9,2,3,0,4,1,0,0,2,38,0
2429,1,2,15,10,2,5,5,4,0,0,0,2,38,0
31892,0,2,11,9,2,10,0,4,1,0,0,1,28,0
27186,2,1,12,14,4,3,2,4,0,4,0,3,38,1
2201,0,5,15,10,4,0,3,4,1,0,0,1,38,0
34281,0,2,9,13,4,9,1,4,1,0,0,1,38,0
31773,1,2,11,9,0,0,1,1,0,0,0,2,39,0
37666,0,2,11,9,2,6,0,4,1,0,0,2,38,0
32403,0,2,9,13,4,3,1,4,1,0,3,2,38,0
35919,1,2,3,2,2,5,0,4,1,0,0,2,25,0
3152,1,4,15,10,2,4,0,4,1,4,0,3,38,1
507,0,2,1,7,4,11,3,4,1,0,0,1,38,0
21452,0,2,9,13,4,3,1,4,1,0,3,3,38,0
36552,1,0,12,14,2,9,0,4,1,0,0,2,38,1
20783,1,1,12,14,2,9,5,4,0,0,0,2,38,1
