,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18902,0,2,2,8,4,2,1,2,1,0,0,2,38,0
37156,1,2,9,13,2,2,0,4,1,0,3,2,38,1
36857,0,2,11,9,4,7,4,4,1,0,0,2,38,0
21518,0,5,9,13,4,9,1,4,1,0,0,0,38,0
30475,0,2,11,9,4,6,1,4,1,0,0,2,38,0
3673,1,2,11,9,2,2,0,4,1,0,0,2,38,0
18840,1,2,11,9,2,0,0,4,1,0,0,2,38,1
22513,0,2,14,15,4,9,1,4,0,0,0,2,38,0
4641,0,4,15,10,2,2,0,0,1,0,0,2,38,1
2328,0,5,9,13,2,10,0,4,1,0,0,2,38,0
2082,0,2,11,9,4,5,1,2,1,0,0,2,38,0
25400,1,5,9,13,2,9,5,4,0,0,0,2,38,1
27393,1,2,15,10,2,11,0,4,1,0,0,1,38,1
31475,0,2,8,11,2,9,0,4,1,0,0,2,38,1
31307,2,2,0,6,2,0,0,4,1,0,0,2,38,0
14711,0,1,7,12,2,7,0,4,1,0,0,4,38,0
6020,0,5,15,10,4,5,1,4,1,0,0,2,38,0
19679,1,5,15,10,4,10,1,4,0,0,0,2,38,0
25323,0,2,12,14,2,3,0,4,1,0,0,2,38,1
12728,1,2,9,13,2,3,0,4,1,0,0,1,38,1
22545,1,2,9,13,0,3,4,4,0,0,0,2,38,0
44215,1,2,11,9,2,2,0,4,1,0,0,2,38,0
26285,1,2,12,14,2,0,0,4,1,0,0,2,38,1
44865,1,4,9,13,4,11,1,4,1,0,0,2,38,0
4755,0,2,9,13,4,0,1,4,0,0,0,2,38,0
25466,0,2,12,14,0,9,4,4,1,0,0,2,38,0
34254,1,2,11,9,2,6,0,4,1,4,0,2,38,0
30824,0,2,9,13,4,9,3,4,1,0,0,1,38,0
20975,1,2,12,14,2,3,0,4,1,4,0,3,38,1
20276,0,2,11,9,4,7,3,4,0,0,0,2,38,0
33579,0,2,15,10,2,2,0,4,1,0,0,2,38,0
3236,1,2,11,9,2,7,0,1,1,0,0,2,36,0
23263,0,4,5,4,4,4,3,4,1,0,0,3,38,0
25873,0,2,15,10,2,3,0,4,1,4,0,2,38,1
42143,1,4,0,6,0,4,4,4,1,0,0,1,38,0
33643,0,2,7,12,0,3,1,4,0,0,0,2,38,0
3270,1,4,9,13,2,3,0,4,1,0,0,2,38,1
40321,0,2,2,8,4,11,3,4,0,0,0,0,38,0
20422,1,2,15,10,2,13,0,4,1,0,0,2,38,0
25718,0,2,15,10,3,11,4,4,0,0,0,2,38,0
9455,0,2,11,9,4,3,3,4,1,0,0,2,38,0
23578,1,2,11,9,4,12,2,4,1,0,0,2,38,0
32641,0,2,11,9,4,6,1,4,1,4,0,1,38,0
43684,1,2,9,13,2,9,0,4,1,0,0,2,38,1
19296,1,2,14,15,2,9,0,1,1,4,0,2,35,1
13350,0,2,11,9,4,2,1,4,0,0,0,2,38,0
34535,0,2,11,9,4,0,1,4,0,0,0,2,38,0
34859,0,2,9,13,4,11,1,4,1,0,0,2,38,0
33005,1,2,11,9,0,7,1,2,0,0,0,1,38,0
19668,0,2,2,8,4,11,3,4,0,0,0,0,38,0
26765,0,2,15,10,4,11,3,4,0,0,0,1,38,0
24591,0,2,11,9,4,7,3,4,0,0,0,1,38,0
41180,1,2,11,9,2,3,0,4,1,0,0,2,38,0
38438,1,2,11,9,0,3,1,4,0,0,0,1,38,1
29463,1,2,2,8,3,5,1,3,1,0,0,2,5,0
