,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30484,1,2,15,10,2,13,0,4,1,0,0,2,38,1
16324,1,2,11,9,2,4,0,4,1,0,0,2,38,0
6966,1,0,9,13,2,9,0,4,1,0,0,2,38,1
19585,0,2,11,9,2,6,0,4,1,0,0,2,38,1
28497,0,4,11,9,2,6,0,4,1,0,0,2,38,0
25563,0,2,1,7,4,7,2,4,0,0,0,2,38,0
14803,1,2,1,7,2,5,0,4,1,0,0,2,38,0
9859,1,2,6,5,0,13,1,4,1,0,0,1,38,0
2971,0,2,11,9,4,2,1,3,1,0,0,2,38,0
38417,1,2,8,11,4,4,1,4,1,0,0,2,38,0
2059,0,2,15,10,4,5,1,4,1,0,0,1,38,0
15035,0,2,12,14,2,9,0,4,1,0,0,2,38,1
4838,1,2,12,14,2,3,0,4,1,0,0,2,38,1
19070,0,4,9,13,2,9,0,4,1,0,3,2,32,1
15916,1,2,11,9,0,6,1,4,1,0,0,2,38,0
2514,0,2,15,10,0,3,4,2,0,0,0,2,38,0
12087,0,2,7,12,4,0,3,4,0,0,0,0,38,0
23436,0,5,2,8,4,0,1,2,0,0,0,2,38,0
38723,0,2,7,12,2,0,0,4,1,0,0,2,38,0
15799,0,2,1,7,4,11,3,4,0,0,0,1,38,0
21387,1,2,5,4,0,5,2,2,1,0,0,2,38,0
41811,0,2,11,9,4,13,1,4,1,0,0,2,38,0
5912,0,2,9,13,4,11,1,4,0,0,0,2,38,0
40683,1,2,11,9,2,6,0,3,1,4,0,2,3,0
3199,0,3,15,10,0,9,1,4,1,0,0,2,38,0
3833,1,2,15,10,2,3,0,4,1,0,0,2,38,1
37235,1,2,9,13,0,3,4,4,0,0,0,2,38,0
4503,0,2,2,8,4,2,3,4,1,0,0,2,38,0
24498,0,2,2,8,5,7,1,4,0,0,0,1,38,0
31119,0,2,11,9,2,6,0,4,1,0,0,2,38,1
14533,0,2,15,10,2,3,0,4,1,0,0,3,38,1
30067,0,2,11,9,2,6,0,4,1,0,0,2,38,0
9234,0,2,15,10,4,11,1,4,1,0,0,1,38,0
23000,0,2,15,10,4,0,1,4,1,0,0,2,38,0
26611,0,2,9,13,2,11,0,4,1,0,0,2,38,1
14435,0,2,15,10,4,5,3,4,1,0,0,1,38,0
45092,0,2,15,10,4,11,1,4,0,0,0,2,38,0
13742,1,2,11,9,2,8,5,2,0,0,0,0,38,0
19507,1,1,9,13,5,9,4,2,0,0,0,2,38,0
3415,0,2,11,9,4,11,3,4,1,0,0,1,38,0
1630,1,2,15,10,4,3,1,4,0,0,3,2,38,0
41265,0,2,9,13,4,11,3,4,1,0,0,2,38,0
19903,0,5,15,10,2,10,0,4,1,0,0,2,38,0
45145,1,0,12,14,0,9,4,4,0,4,0,2,38,0
41119,1,2,0,6,2,3,0,4,1,0,0,2,38,1
4997,0,2,8,11,4,7,1,4,1,0,0,2,38,0
44066,2,2,12,14,2,0,0,1,1,0,0,2,34,1
21745,0,2,9,13,4,11,1,4,1,0,0,2,38,0
4671,1,2,11,9,2,11,0,4,1,0,0,2,38,1
9521,1,1,1,7,3,2,1,2,1,0,0,2,38,0
30225,0,2,11,9,2,11,5,4,0,0,0,2,38,0
23285,0,0,15,10,0,0,4,4,0,0,0,2,38,0
42877,1,0,15,10,2,0,0,2,1,0,0,2,38,1
42020,0,2,11,9,2,2,0,4,1,0,0,2,38,0
25472,1,2,15,10,2,10,0,4,1,0,0,2,38,0
31952,1,2,8,11,0,7,3,4,0,0,0,2,38,0
24060,0,2,11,9,2,5,0,2,1,0,0,4,38,1
40864,0,2,9,13,2,9,5,4,0,4,0,2,38,1
13108,0,2,11,9,4,11,3,1,0,0,0,2,39,0
32744,0,0,15,10,4,5,1,4,1,0,0,2,38,0
29573,2,0,12,14,2,0,0,4,1,0,0,2,21,1
24673,1,2,11,9,0,5,1,4,1,3,0,0,38,0
31794,0,2,14,15,2,9,0,4,1,0,0,2,38,1
6982,3,2,11,9,6,7,1,2,1,0,0,0,38,0
8539,1,2,11,9,2,2,0,4,1,0,0,2,38,0
2832,0,2,11,9,2,2,0,4,1,4,0,2,38,0
895,0,2,7,12,2,2,0,4,1,0,0,3,38,1
21462,0,2,15,10,2,3,0,4,1,0,0,2,38,0
1218,0,2,9,13,2,3,0,4,1,0,0,2,38,0
33068,0,1,15,10,2,2,0,4,1,0,0,2,38,0
31146,0,2,11,9,2,12,0,4,1,0,0,2,38,0
42793,0,4,15,10,2,13,0,4,1,0,0,2,38,0
35006,1,2,9,13,2,9,0,4,1,0,0,3,38,1
2769,1,2,15,10,0,11,1,4,1,0,0,2,38,0
33187,0,5,15,10,4,0,3,4,0,0,0,2,38,0
12859,0,2,9,13,4,12,3,4,0,0,0,2,38,0
5588,1,2,10,16,0,3,4,4,1,0,0,2,38,1
18690,1,4,8,11,0,9,1,4,0,0,0,1,38,0
16286,0,2,15,10,4,9,1,4,0,4,0,0,38,0
9503,1,2,9,13,2,11,0,4,1,0,0,2,38,0
26580,0,2,15,10,4,2,3,4,1,0,0,2,38,0
14873,2,2,15,10,6,7,4,2,0,0,0,1,38,0
6490,1,2,11,9,0,0,4,4,0,4,0,2,38,1
4595,2,2,11,9,0,7,1,4,0,0,0,2,38,0
4323,1,2,12,14,2,3,0,4,1,0,3,2,38,1
6767,1,2,0,6,2,13,0,4,1,0,0,3,38,1
41509,1,2,12,14,2,3,0,4,1,0,0,2,38,1
23817,2,4,15,10,2,11,0,4,1,0,0,1,38,0
20737,0,2,11,9,4,2,4,1,1,0,0,2,39,0
28112,0,2,15,10,0,3,4,4,1,0,0,3,38,0
11217,0,4,11,9,2,4,0,4,1,0,0,4,38,0
39841,1,2,12,14,0,3,1,4,0,0,0,2,38,0
39771,0,2,11,9,2,13,0,4,1,0,0,2,38,0
12129,1,2,6,5,0,6,1,2,0,0,0,2,38,0
21586,0,4,11,9,2,2,0,4,1,0,0,2,38,1
33951,0,1,7,12,4,0,1,4,1,4,0,2,38,0
21930,0,2,11,9,4,11,3,4,0,0,0,0,25,0
38575,0,2,15,10,4,11,3,1,1,0,0,1,18,0
3477,0,2,1,7,4,7,2,4,1,0,0,1,38,0
24474,0,4,11,9,2,2,0,4,1,0,0,2,38,1
43437,0,2,1,7,4,11,3,4,0,0,0,1,38,0
39415,1,3,9,13,2,3,0,4,1,0,0,2,38,1
2035,0,2,11,9,4,0,1,4,0,0,0,2,38,0
21608,1,2,12,14,0,9,4,4,0,4,0,2,38,0
18831,0,5,15,10,0,10,4,0,0,0,0,2,38,1
40440,1,2,11,9,2,2,0,4,1,0,0,2,38,1
