,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
9304,1,0,9,13,2,3,0,4,1,0,0,2,38,1
19366,0,2,6,5,0,5,1,4,1,0,0,3,38,0
20520,0,2,9,13,2,9,5,4,0,0,0,1,38,1
43000,0,2,1,7,4,11,3,4,0,0,0,1,38,0
12760,0,2,15,10,4,0,3,4,0,0,0,0,38,0
14751,0,2,9,13,2,3,0,4,1,0,0,2,38,1
25390,1,2,11,9,0,6,1,4,1,0,0,2,38,0
12777,1,5,9,13,2,9,5,2,0,0,0,2,38,0
4677,0,2,11,9,2,13,0,4,1,0,0,3,38,0
17651,0,1,2,8,4,9,3,4,1,0,0,1,38,0
33390,0,2,1,7,4,5,1,4,1,0,0,2,38,0
29077,1,0,9,13,0,12,1,0,1,0,0,2,38,0
505,0,2,8,11,2,2,2,4,1,0,0,2,38,0
33264,0,2,0,6,4,7,1,4,1,0,0,1,26,0
37508,1,4,14,15,2,9,5,4,0,4,0,2,38,1
23523,1,1,12,14,4,9,1,4,0,0,0,2,38,0
27249,0,2,15,10,0,6,4,4,0,0,0,2,38,0
43930,0,2,6,5,4,5,3,4,1,0,0,1,38,0
1432,0,2,6,5,5,7,4,4,0,0,0,1,38,0
13803,0,2,1,7,4,4,3,4,1,0,0,0,38,0
39999,1,2,9,13,2,2,0,4,1,0,0,2,38,1
40614,1,1,11,9,4,7,1,2,0,0,0,2,38,0
8382,0,2,15,10,0,7,4,2,0,0,0,1,38,0
21826,0,4,15,10,2,2,0,4,1,0,0,2,38,1
16844,0,1,11,9,4,0,1,4,0,0,0,2,38,0
3956,1,4,9,13,2,3,0,4,1,0,0,2,38,0
30400,0,2,8,11,4,2,1,4,1,0,0,2,38,0
29597,0,2,12,14,2,9,0,1,1,0,0,2,18,0
13488,0,2,15,10,4,7,4,4,0,0,0,1,38,0
31002,1,1,15,10,6,0,4,4,0,0,0,2,25,0
10256,0,2,11,9,2,2,0,0,1,0,0,2,38,0
42114,0,2,11,9,2,7,3,4,0,0,0,1,38,0
24826,0,5,15,10,4,0,3,4,1,0,0,1,38,0
14715,0,2,11,9,2,2,0,4,1,0,0,2,30,1
26116,1,2,15,10,2,0,5,4,0,0,0,2,38,1
39003,1,0,15,10,0,4,1,4,1,0,0,2,38,0
2987,0,2,11,9,4,6,3,4,1,0,0,2,25,0
44922,0,2,15,10,2,3,0,4,1,0,0,2,10,1
3332,0,2,11,9,2,2,0,4,1,0,3,2,38,0
26374,0,2,11,9,4,0,1,4,0,0,0,2,38,0
39629,0,2,11,9,4,0,3,4,0,0,0,2,38,0
33392,2,2,15,10,6,3,1,4,0,0,0,0,38,0
6608,0,2,11,9,0,7,4,4,0,0,0,1,38,0
14191,0,2,11,9,2,3,2,1,1,0,0,3,36,0
32613,0,2,11,9,4,0,1,4,0,0,0,2,38,0
42907,0,2,11,9,2,6,0,4,1,0,0,2,38,0
10675,0,2,15,10,4,7,3,4,0,0,0,1,38,0
17727,0,2,15,10,2,7,0,4,1,0,3,2,38,0
42601,0,4,14,15,2,9,0,4,1,0,3,2,38,1
14072,2,2,11,9,0,11,1,4,0,0,0,1,38,0
18610,2,2,11,9,2,5,0,4,1,0,0,2,38,1
10203,1,2,15,10,0,0,4,4,0,0,0,1,38,0
1322,0,1,7,12,4,9,1,4,1,0,0,2,38,0
42649,0,5,7,12,2,0,0,4,1,0,0,1,38,0
13418,0,2,15,10,4,7,4,4,0,0,0,1,38,0
7189,0,2,13,1,4,4,1,4,1,0,0,2,25,0
31209,0,1,11,9,2,13,0,4,1,0,0,2,38,0
26529,0,2,11,9,4,2,3,4,0,0,0,2,38,0
17389,0,2,15,10,0,0,4,4,0,0,0,2,38,0
39105,1,2,15,10,6,3,1,4,0,0,0,2,38,0
11728,1,1,11,9,2,13,0,4,1,0,0,1,38,1
38905,2,2,10,16,2,9,0,4,1,0,0,3,38,1
11830,1,1,9,13,2,9,0,4,1,0,3,1,38,0
29786,0,2,11,9,4,2,1,4,1,0,0,1,38,0
45148,0,2,2,8,2,2,0,4,1,0,0,4,38,0
30330,0,2,9,13,4,5,3,4,1,0,0,2,38,0
23382,0,2,11,9,0,5,2,4,1,0,0,2,7,0
28624,1,1,11,9,0,12,1,2,0,0,0,2,38,0
5900,0,0,11,9,2,0,0,4,1,0,0,2,38,1
26607,0,2,1,7,2,13,0,4,1,0,0,2,38,0
36762,1,3,14,15,2,9,0,4,1,0,0,2,38,1
14950,0,2,11,9,0,6,1,4,0,0,0,2,38,0
42194,0,2,12,14,4,3,1,4,0,0,0,2,38,0
1957,1,2,9,13,2,9,0,4,1,0,0,2,38,0
24394,0,3,6,5,4,2,3,4,1,0,0,2,38,0
30251,0,2,11,9,2,13,0,4,1,0,0,2,38,0
29778,1,0,9,13,2,5,0,4,1,0,0,2,38,0
13566,0,2,15,10,4,10,3,4,1,0,0,1,7,0
28145,0,2,9,13,4,9,3,4,1,0,0,2,38,0
35646,1,4,11,9,2,2,0,2,1,4,0,3,38,0
21888,1,2,7,12,0,0,4,4,0,0,0,2,38,0
42517,1,2,11,9,0,6,1,4,0,0,0,2,38,0
32741,2,5,9,13,2,9,0,4,1,0,0,2,38,0
8233,0,2,11,9,4,2,3,4,1,0,0,2,38,0
34330,1,2,15,10,2,9,0,0,1,0,0,2,38,1
37135,0,2,11,9,2,13,0,4,1,0,0,3,38,0
28036,0,2,11,9,4,11,3,4,0,0,0,2,38,0
43050,0,2,7,12,4,11,3,4,0,0,0,2,38,0
22452,0,2,11,9,2,2,0,4,1,0,0,2,38,1
16575,0,2,15,10,4,5,3,4,1,0,0,1,38,0
44225,1,4,14,15,2,9,0,4,1,0,0,2,38,1
33770,0,2,15,10,4,11,3,4,1,0,0,1,38,0
15765,0,2,0,6,5,7,4,4,0,0,0,2,38,0
17866,0,4,11,9,2,6,0,4,1,0,0,2,38,0
15743,0,2,8,11,4,12,3,4,1,0,0,2,38,0
42161,0,2,14,15,2,9,0,4,1,0,3,2,38,1
44399,1,2,15,10,0,7,1,4,0,0,0,2,38,0
17844,0,2,11,9,5,6,4,4,0,0,3,2,38,0
41634,0,2,12,14,4,0,1,2,0,0,0,2,38,0
22264,1,3,15,10,2,11,0,4,1,0,0,2,38,1
33299,1,2,15,10,0,0,4,4,0,0,0,1,38,0
26139,0,2,8,11,4,7,4,4,0,0,0,2,38,0
33119,1,0,12,14,4,9,1,4,0,0,0,2,38,0
33164,1,2,11,9,4,0,2,4,0,0,0,2,38,0
24043,1,2,7,12,2,12,0,4,1,0,0,2,38,1
27930,1,3,12,14,2,3,0,4,1,0,0,3,38,0
22526,0,2,12,14,2,9,5,4,0,0,3,0,38,1
14862,0,2,9,13,4,9,1,4,0,0,3,2,38,0
39437,0,2,0,6,2,6,0,4,1,0,0,2,38,0
42813,0,2,15,10,0,11,1,4,0,0,0,2,38,0
25429,2,2,12,14,2,9,0,4,1,4,0,1,38,0
21386,0,2,11,9,4,13,3,4,1,0,0,1,38,0
39378,1,2,8,11,2,7,0,4,1,0,0,1,38,0
18454,0,4,15,10,0,11,4,4,0,0,0,1,38,0
20718,0,2,15,10,4,7,3,4,1,0,0,0,38,0
21707,0,5,9,13,0,10,1,4,1,0,0,2,25,1
24705,1,5,14,15,0,9,4,4,0,0,0,2,38,0
34973,0,4,11,9,0,2,1,4,1,0,0,1,38,0
32916,0,2,11,9,2,6,0,4,1,4,0,2,38,0
4264,0,2,11,9,2,6,0,4,1,0,3,2,38,1
1483,1,2,11,9,0,11,3,4,0,0,0,2,38,0
31671,0,2,11,9,0,2,4,4,1,0,0,2,38,0
27902,1,4,15,10,2,4,0,4,1,0,0,3,38,0
40753,0,2,11,9,2,11,0,4,1,0,0,2,38,0
35088,1,2,7,12,0,2,3,4,1,0,0,2,38,0
4378,1,2,13,1,2,4,0,2,1,0,0,2,13,0
39608,1,2,15,10,2,0,0,4,1,4,0,2,38,1
38549,0,2,11,9,0,6,1,4,1,0,0,2,38,0
44313,1,2,9,13,2,3,0,4,1,0,0,2,38,0
28337,2,4,11,9,4,7,1,4,0,0,0,1,38,0
24414,1,2,9,13,0,2,1,4,1,0,0,2,38,0
242,0,2,9,13,4,0,3,4,0,0,0,2,38,0
6689,1,2,11,9,5,11,1,4,1,0,0,1,38,0
43626,1,1,12,14,0,9,4,4,0,3,0,2,38,0
8454,1,2,8,11,0,6,3,4,0,0,0,2,38,0
32954,0,1,15,10,5,10,3,3,1,0,0,2,38,0
40397,1,2,0,6,2,5,0,4,1,0,0,2,38,0
3804,1,4,15,10,4,11,1,4,1,0,0,3,38,0
13550,0,2,11,9,0,0,4,4,0,0,0,2,38,0
6982,3,2,11,9,6,7,1,2,1,0,0,0,38,0
31444,0,2,15,10,4,11,1,4,1,0,0,1,38,0
3148,2,2,12,14,2,9,0,3,1,0,0,2,18,1
35489,1,2,12,14,2,9,0,4,1,4,0,2,38,1
25222,0,2,5,4,4,7,1,4,0,0,0,2,38,0
30862,1,2,11,9,2,2,0,4,1,0,0,2,38,1
4174,1,2,9,13,0,9,1,4,0,0,0,1,38,0
22695,0,2,11,9,2,11,0,4,1,0,0,2,38,1
15638,0,2,15,10,2,3,0,4,1,0,0,2,38,1
27124,1,2,6,5,2,5,0,4,1,0,0,2,38,1
16481,1,1,15,10,2,2,0,4,1,0,0,2,38,0
13189,0,2,1,7,4,3,1,2,1,0,0,2,38,0
31081,2,2,11,9,2,11,0,4,1,0,0,2,38,0
32473,0,2,11,9,4,8,1,4,0,0,0,2,25,0
14645,2,2,11,9,2,9,0,4,1,4,0,2,38,1
25660,0,5,11,9,2,6,0,4,1,0,0,2,38,1
7428,1,1,15,10,2,7,5,2,0,0,0,1,38,0
7236,0,4,11,9,2,6,3,4,1,0,0,2,38,0
16526,0,2,9,13,4,11,1,4,1,0,0,2,38,0
16190,1,0,11,9,0,0,4,4,0,0,0,2,38,0
41761,0,0,11,9,4,0,2,4,1,0,0,1,38,0
13039,1,3,14,15,4,9,1,4,1,4,0,2,38,1
43897,0,2,15,10,4,11,1,4,1,0,0,2,38,0
25796,2,4,9,13,2,3,0,4,1,0,0,2,38,0
16855,1,4,9,13,2,3,0,4,1,0,0,2,38,0
40158,0,2,9,13,2,11,0,4,1,0,0,2,38,0
11502,0,2,15,10,4,13,3,4,1,0,0,1,38,0
34469,0,2,15,10,0,2,4,4,0,0,0,2,38,0
40899,0,0,15,10,2,0,0,4,1,0,0,2,38,1
30328,0,2,11,9,2,6,0,4,1,0,0,2,38,0
23794,0,2,9,13,2,3,0,4,1,4,0,2,38,1
28692,0,2,6,5,2,5,0,2,1,0,0,2,38,0
29994,0,2,11,9,2,13,0,4,1,0,0,2,38,0
38174,1,0,11,9,0,0,1,4,1,0,0,2,38,0
23763,1,2,11,9,0,11,1,4,0,0,0,2,38,0
13588,1,1,0,6,2,7,5,4,0,0,0,1,38,1
39709,0,2,7,12,4,5,1,4,1,0,0,2,38,0
16595,1,2,5,4,2,2,0,4,1,4,0,2,38,0
15453,0,2,11,9,0,4,1,4,1,0,0,2,38,0
30451,0,2,9,13,4,12,1,1,0,4,0,2,38,0
44080,0,2,15,10,4,0,4,2,0,0,0,1,38,0
6096,1,2,11,9,2,0,0,4,1,4,0,2,38,1
39199,0,2,11,9,4,7,3,4,1,0,0,1,38,0
9852,0,2,15,10,4,13,3,4,1,0,3,2,38,0
41537,0,2,0,6,0,6,1,4,0,0,0,2,38,0
31681,0,3,9,13,2,11,0,4,1,0,0,2,38,1
12053,1,2,11,9,0,3,1,4,0,0,0,2,38,0
30394,0,2,15,10,2,6,0,4,1,0,0,2,38,0
11403,1,2,9,13,4,9,1,4,1,0,0,1,38,0
9116,1,2,11,9,2,2,0,4,1,0,3,2,38,1
41163,0,4,11,9,2,4,0,4,1,0,0,2,38,0
22361,0,2,5,4,2,6,0,4,1,0,0,2,25,0
39682,0,2,15,10,0,0,4,2,0,0,0,2,38,0
43275,0,2,11,9,4,5,2,4,1,0,0,1,38,0
28180,1,2,11,9,0,3,1,4,0,0,0,2,38,0
34737,0,2,6,5,2,5,0,4,1,0,0,2,25,0
15484,0,2,11,9,2,13,0,4,1,0,0,3,38,0
22319,1,5,15,10,2,6,0,4,1,0,0,2,38,1
3459,2,2,5,4,2,6,5,4,0,4,0,2,1,0
32405,0,2,9,13,4,11,4,4,1,0,0,2,38,0
13582,1,2,12,14,2,12,0,1,1,0,3,2,2,1
28450,0,2,9,13,4,11,3,4,0,0,0,2,38,0
33864,1,2,9,13,2,7,5,1,0,4,0,2,23,1
40483,0,2,9,13,4,0,3,4,0,0,0,2,38,0
34331,2,2,11,9,2,0,0,4,1,0,0,2,38,1
37735,0,2,12,14,4,3,1,4,0,0,0,2,38,0
41203,2,3,11,9,2,3,0,4,1,0,0,2,38,1
12188,1,2,15,10,2,9,0,4,1,0,0,2,38,1
37845,1,4,15,10,2,3,0,4,1,0,0,4,38,1
40190,2,2,9,13,2,3,0,4,1,4,0,2,38,1
44420,2,2,11,9,2,0,0,4,1,0,0,2,38,0
35687,0,2,11,9,4,6,3,4,1,0,0,2,38,0
21236,0,2,7,12,0,0,4,4,0,0,0,2,38,0
23191,0,2,11,9,4,7,1,4,1,0,0,2,38,0
21822,1,2,8,11,0,2,4,4,0,0,0,2,38,0
22471,1,2,1,7,5,7,1,2,0,0,0,1,38,0
20400,0,4,15,10,2,3,0,4,1,0,0,3,38,0
36449,1,2,8,11,2,3,0,4,1,0,0,2,38,1
8602,1,2,8,11,2,13,0,4,1,0,0,4,38,1
12994,1,2,9,13,0,9,1,4,1,4,0,2,38,0
31342,1,5,11,9,2,11,0,4,1,0,0,2,38,0
43177,1,2,9,13,2,11,0,4,1,0,0,2,38,1
35226,1,0,12,14,4,0,1,4,0,0,0,2,38,1
21538,0,2,11,9,0,0,4,4,0,0,0,2,38,0
18702,0,2,6,5,0,5,1,4,1,4,0,2,38,0
11241,1,2,11,9,0,3,1,4,0,0,3,2,38,1
31506,2,2,15,10,5,13,1,0,0,0,0,1,38,0
17008,0,2,11,9,4,2,3,4,1,0,0,2,38,0
24383,1,2,9,13,4,11,4,4,0,0,0,1,38,0
7097,0,2,7,12,4,7,1,4,0,0,0,0,38,0
19089,0,2,11,9,4,9,1,4,1,0,0,2,38,0
3361,0,2,15,10,4,5,1,2,1,0,0,1,38,0
24116,0,2,15,10,2,3,0,4,1,0,0,2,38,1
20619,1,2,11,9,0,6,1,4,0,0,0,1,38,0
12709,1,2,15,10,2,13,0,3,1,0,0,3,38,1
14001,0,2,9,13,2,3,0,4,1,0,0,2,38,1
36969,1,2,1,7,0,0,4,4,0,0,0,2,38,0
5807,0,4,1,7,2,2,0,4,1,0,0,2,38,0
7414,1,4,11,9,2,13,0,4,1,0,3,2,38,0
835,0,2,15,10,4,0,1,4,0,0,0,2,38,0
5714,0,2,11,9,5,5,1,4,1,0,0,2,38,0
20230,0,2,15,10,4,11,3,4,0,0,0,1,38,0
38695,0,2,15,10,4,11,3,4,1,0,0,0,38,0
36151,0,2,5,4,2,2,0,4,1,0,0,3,38,0
34500,0,2,11,9,2,2,0,4,1,4,0,2,38,0
