,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
47910,0,0,13,4,2,7,4,4,0,1,1,1,23,1,[1]
48300,0,3,9,12,1,13,5,3,1,1,1,0,0,1,[1]
21846,1,2,15,10,2,3,5,4,0,0,1,0,38,1,[1]
22570,1,2,9,13,2,9,5,4,0,0,1,0,38,1,[1]
54302,2,4,6,16,5,3,1,3,0,1,1,0,22,1,[1]
40119,2,3,11,9,2,13,0,4,1,1,0,1,17,1,[1]
47845,2,3,5,12,2,7,1,0,0,1,1,1,36,1,[1]
20794,1,2,9,13,2,3,0,4,1,0,1,1,38,1,[1]
41639,1,1,9,13,2,9,5,4,0,1,0,0,38,1,[1]
25121,1,2,9,13,2,12,5,4,0,0,0,0,38,1,[1]
3207,2,2,11,9,2,6,0,4,1,1,0,0,38,1,[1]
27611,1,2,9,13,2,3,0,4,1,0,0,0,38,1,[1]
13661,1,2,15,10,2,12,0,4,1,0,0,0,38,1,[1]
13338,1,3,14,15,2,9,0,1,1,0,0,1,18,1,[1]
26896,1,2,9,13,2,11,0,4,1,0,1,1,38,1,[1]
53031,1,3,6,12,6,11,0,0,0,1,1,0,0,1,[1]
46512,1,0,14,12,6,8,3,3,1,1,1,1,9,1,[1]
20138,1,5,12,14,2,9,0,4,1,1,0,0,38,1,[1]
19807,1,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
53933,2,1,5,12,0,12,4,1,0,1,1,0,19,1,[1]
53316,1,3,15,1,4,4,2,2,0,1,1,0,30,1,[1]
41583,1,2,7,12,2,3,0,4,1,0,0,0,38,1,[1]
13725,1,0,9,13,2,9,0,4,1,0,0,0,38,1,[1]
20675,1,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
26258,1,2,12,14,2,3,0,4,1,0,0,0,38,1,[1]
42985,1,0,7,12,2,3,5,4,0,0,0,0,38,1,[1]
14869,1,2,12,14,2,3,0,4,1,0,0,1,38,1,[1]
36840,1,2,9,13,2,3,0,4,1,1,0,0,38,1,[1]
27298,1,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
48390,1,2,1,8,1,6,4,2,0,1,1,0,2,1,[1]
50170,1,2,2,15,2,8,3,4,1,1,1,1,21,1,[1]
54449,2,6,9,7,5,12,2,2,0,1,1,0,38,1,[1]
34391,2,2,9,13,2,9,0,4,1,0,0,1,38,1,[1]
52715,1,3,4,1,2,6,1,4,0,1,1,0,3,1,[1]
9359,1,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
10257,2,2,9,13,2,0,5,4,0,0,0,0,38,1,[1]
11001,1,2,0,6,2,2,0,4,1,0,0,1,38,1,[1]
30335,2,2,12,14,2,11,0,4,1,1,0,1,38,1,[1]
40863,1,2,9,13,2,11,0,4,1,0,0,0,38,1,[1]
8173,1,3,11,9,2,13,0,4,1,0,1,0,38,1,[1]
10699,2,2,9,13,2,3,0,4,1,0,0,1,38,1,[1]
7985,1,1,12,14,2,9,0,4,1,0,0,0,38,1,[1]
12210,2,4,9,13,2,3,5,4,0,1,0,0,38,1,[1]
31963,2,4,14,15,2,9,0,4,1,0,0,0,38,1,[1]
9086,1,1,12,14,2,9,5,2,0,0,0,0,38,1,[1]
48519,1,1,6,9,3,8,5,4,1,1,1,0,36,1,[1]
53420,2,0,1,2,5,3,4,4,1,1,1,1,7,1,[1]
37680,2,4,14,15,2,11,0,4,1,0,0,0,38,1,[1]
32353,2,2,9,13,2,0,0,4,1,1,0,0,38,1,[1]
44271,0,2,9,13,2,3,0,4,1,0,0,1,40,1,[1]
28953,1,5,9,13,2,3,0,4,1,0,0,0,38,1,[1]
49480,1,4,14,14,5,1,3,3,1,1,1,0,25,1,[1]
24085,1,2,9,13,2,3,0,4,1,0,1,0,38,1,[1]
21781,1,5,9,13,2,3,5,4,0,0,0,1,38,1,[1]
16041,1,2,14,15,2,9,0,4,1,0,1,1,38,1,[1]
27276,1,1,12,14,2,9,5,4,0,0,0,1,38,1,[1]
35862,1,2,14,15,2,9,0,4,1,0,1,1,38,1,[1]
28484,1,2,11,9,2,6,0,4,1,1,0,0,38,1,[1]
12376,1,1,12,14,2,9,0,4,1,0,0,0,21,1,[1]
18864,1,2,9,13,2,9,5,4,0,0,0,1,19,1,[1]
39743,1,0,9,13,2,9,0,4,1,1,0,0,38,1,[1]
47465,1,5,2,15,1,6,3,3,1,1,1,0,3,1,[1]
33417,1,2,9,13,2,12,5,4,0,1,0,0,38,1,[1]
26974,1,3,15,10,2,3,0,4,1,0,0,1,38,1,[1]
9460,2,0,12,14,2,12,0,1,1,1,0,0,2,1,[1]
11591,1,2,8,11,2,12,5,4,0,0,0,0,38,1,[1]
53391,1,1,10,15,3,10,0,0,0,1,1,0,20,1,[1]
51190,2,3,12,8,3,3,4,0,1,1,1,1,1,1,[1]
9603,1,0,9,13,2,0,0,1,1,0,1,0,29,1,[1]
4571,1,4,9,13,2,9,5,4,0,0,0,0,38,1,[1]
2484,1,2,14,15,2,9,0,4,1,0,1,1,38,1,[1]
9769,1,2,15,10,2,11,0,4,1,1,0,0,38,1,[1]
25530,1,0,12,14,2,11,0,4,1,0,0,1,38,1,[1]
26030,1,2,15,10,2,12,0,4,1,1,0,0,38,1,[1]
44419,1,0,15,10,2,9,0,4,1,0,0,0,38,1,[1]
24724,2,2,14,15,2,9,0,4,1,1,0,1,38,1,[1]
47824,2,0,0,9,6,10,2,1,1,1,1,0,12,1,[1]
38874,0,2,15,10,2,13,0,4,1,1,0,1,38,1,[1]
25153,2,5,12,14,2,3,0,4,1,1,0,0,38,1,[1]
34743,2,1,9,13,2,0,5,4,0,0,0,0,38,1,[1]
50385,2,0,3,9,2,2,0,3,1,1,1,0,27,1,[1]
54306,2,0,14,3,6,5,3,4,1,1,1,0,29,1,[1]
39605,1,2,15,10,2,0,3,2,0,0,0,1,38,1,[1]
3433,1,2,12,14,2,12,0,1,1,0,0,0,38,1,[1]
