,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,act,pred
39912,2,2,15,10,2,11,0,4,1,1,0,1,38,1,[0]
7240,1,2,15,10,5,9,4,4,0,0,0,0,38,1,[0]
53193,0,0,0,8,1,1,1,3,1,1,1,1,33,1,[0]
48490,1,6,4,3,6,1,2,4,1,1,1,0,20,1,[0]
33081,0,0,15,10,2,0,0,4,1,1,0,0,4,1,[0]
51899,2,1,14,7,0,10,5,2,1,1,1,0,12,1,[0]
54151,2,6,2,12,0,12,0,0,1,1,1,1,35,1,[0]
44089,1,5,9,13,2,9,0,1,1,1,0,1,18,1,[0]
52831,2,2,14,12,5,2,5,1,0,1,1,0,20,1,[0]
48441,2,0,14,16,0,8,0,3,0,1,1,1,8,1,[0]
1419,1,2,15,10,2,11,0,4,1,0,0,0,38,1,[0]
18718,2,2,11,9,2,6,0,4,1,0,0,0,38,1,[0]
12346,2,4,9,13,2,11,0,4,1,0,0,0,38,1,[0]
28218,2,2,9,13,2,12,0,4,1,0,0,0,38,1,[0]
49219,2,6,7,16,5,3,2,4,1,1,1,1,39,1,[0]
45392,0,2,15,4,0,0,0,4,0,1,1,1,3,1,[0]
42148,1,2,15,10,2,2,0,4,1,0,0,0,38,1,[0]
52762,1,4,5,16,5,6,3,4,0,1,1,1,40,1,[0]
34313,0,2,12,14,2,9,0,1,1,0,0,0,16,1,[0]
44478,1,2,15,10,2,11,5,4,0,0,0,0,38,1,[0]
18733,1,2,15,10,2,2,0,4,1,0,0,0,38,1,[0]
13381,1,0,9,13,2,3,0,4,1,0,0,0,38,1,[0]
46524,0,0,9,16,4,7,0,0,1,1,1,0,11,1,[0]
32406,0,2,1,7,2,3,0,4,1,0,0,1,38,1,[0]
26384,1,2,11,9,2,13,0,4,1,0,0,0,38,1,[0]
42713,1,2,11,9,0,9,3,4,0,0,0,0,38,1,[0]
8678,1,2,15,10,2,11,0,4,1,0,0,0,38,1,[0]
40233,1,0,12,14,0,3,1,4,1,0,0,0,38,1,[0]
30884,1,2,11,9,2,13,0,4,1,0,0,0,38,1,[0]
6770,2,2,8,11,2,9,0,4,1,0,0,0,38,1,[0]
14701,1,2,15,10,2,2,0,4,1,0,0,0,38,1,[0]
32038,1,1,9,13,4,0,1,4,0,1,0,0,38,1,[0]
42046,2,4,15,10,2,9,5,4,0,0,0,0,38,1,[0]
21029,2,3,4,3,2,11,0,4,1,0,0,0,25,1,[0]
9699,2,2,15,10,2,13,0,2,1,0,0,0,38,1,[0]
25371,1,2,7,12,2,0,0,4,1,0,0,0,38,1,[0]
41662,1,2,8,11,2,0,0,4,1,0,0,0,38,1,[0]
19048,1,2,11,9,2,6,0,4,1,0,0,0,38,1,[0]
49628,2,3,5,13,5,1,3,4,1,1,1,1,29,1,[0]
46659,2,5,15,1,4,12,0,3,1,1,1,0,19,1,[0]
41122,0,5,15,10,2,0,0,4,1,0,0,0,38,1,[0]
45977,0,4,0,4,2,5,0,1,0,1,1,1,1,1,[0]
15601,2,2,0,6,2,2,0,4,1,0,1,0,38,1,[0]
39118,2,4,15,10,2,0,0,4,1,0,0,1,38,1,[0]
17645,1,2,3,2,2,6,0,4,1,0,0,0,25,1,[0]
39436,0,2,9,13,2,12,0,1,1,0,0,0,18,1,[0]
27905,1,2,12,14,0,3,1,4,1,0,0,0,38,1,[0]
40102,2,2,8,11,2,2,0,4,1,0,1,0,38,1,[0]
4632,1,4,7,12,2,2,0,4,1,0,0,1,38,1,[0]
19011,1,4,12,14,2,11,0,4,1,0,0,0,38,1,[0]
52201,2,6,1,14,5,2,2,4,0,1,1,0,30,1,[0]
20259,0,2,11,9,2,2,0,4,1,0,1,1,38,1,[0]
37357,2,3,7,12,2,11,0,4,1,0,0,0,38,1,[0]
21026,1,4,9,13,2,9,0,4,1,0,0,1,38,1,[0]
54207,0,6,4,13,2,6,1,3,1,1,1,0,13,1,[0]
33804,1,2,11,9,2,13,0,4,1,0,0,1,38,1,[0]
33104,1,2,11,9,0,3,4,4,0,0,0,0,38,1,[0]
600,1,4,11,9,2,7,5,4,0,1,0,0,38,1,[0]
22208,1,2,11,9,2,6,0,4,1,1,0,1,38,1,[0]
43834,1,2,9,13,0,3,1,4,0,0,0,0,38,1,[0]
44127,0,4,15,10,2,13,2,3,1,0,0,1,6,1,[0]
47894,2,5,4,4,2,11,3,4,1,1,1,0,2,1,[0]
25789,1,2,11,9,2,11,0,4,1,0,0,1,38,1,[0]
49494,1,0,15,2,4,8,5,4,1,1,1,0,31,1,[0]
54676,2,6,7,10,6,3,1,1,1,1,1,1,35,1,[0]
46571,1,0,0,14,5,8,4,0,0,1,1,0,9,1,[0]
38838,1,1,12,14,4,9,1,4,1,0,0,0,38,1,[0]
44257,2,2,11,9,2,0,0,4,1,0,0,1,38,1,[0]
