execution time
8000 4.610390901565552 18.07593011856079
9000 5.034707307815552 44.18375492095947
10000 7.635829925537109 46.42235589027405
11000 6.424836874008179 53.25364899635315
12000 6.720612049102783 70.80133390426636
13000 8.828624963760376 81.58216571807861
14000 10.431245803833008 96.9604709148407
15000 15.73847508430481 130.36450099945068
16000 19.50637125968933 154.69848084449768
17000 20.458327054977417 171.26118111610413
18000 20.871896028518677 195.15468287467957


number of patterns
8000 105484 220218
9000 133754 280470
10000 147248 300078
11000 212469 365012
12000 261722 433218
13000 284730 465752
14000 309576 509862
15000 351763 628604
16000 390675 730472
17000 384641 775626
18000 393656 822993
