,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
15281,1,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
13518,1,2,1,2,0,1,1,2,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
47529,4,1,6,1,2,6,6,3,5,10,10,3,3,0,1,0,0,4,2,2,0,1,1,0,[0]
6060,0,2,1,2,0,1,1,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,[0]
9358,2,1,1,2,0,1,2,2,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
11395,0,1,1,2,0,3,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
19191,0,2,2,1,0,2,2,2,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
29618,2,1,1,1,0,2,2,2,2,2,2,2,0,0,1,0,1,1,0,0,0,0,0,0,[0]
17209,0,2,1,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
41883,3,2,1,3,1,0,1,5,4,2,7,1,4,0,4,4,0,1,3,1,0,1,0,0,[0]
11426,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,[0]
6718,1,2,2,2,0,2,2,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
25555,0,2,2,2,1,3,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
21687,0,2,2,2,0,3,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
47925,3,1,4,3,0,10,1,2,5,6,10,2,0,2,0,1,0,4,3,2,2,3,4,0,[0]
