,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
15032,0,1,2,1,1,2,2,5,4,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
36781,4,1,5,0,0,10,7,4,1,7,1,2,0,2,5,1,2,2,1,0,1,0,0,1,[1]
8600,0,1,1,2,0,1,1,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
39511,1,2,0,3,0,10,3,4,4,10,10,5,3,2,0,0,0,3,3,1,2,2,2,1,[1]
18278,0,1,2,1,1,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
35884,2,1,4,2,0,1,5,10,9,7,10,4,1,0,1,2,2,4,3,2,1,2,2,1,[1]
31063,1,2,4,1,2,10,2,2,9,8,6,1,1,0,4,2,2,2,3,3,0,0,4,1,[1]
35605,3,1,6,2,2,10,9,8,2,10,1,2,4,1,3,1,1,3,2,0,2,2,4,1,[1]
14824,0,1,3,2,0,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
19344,0,2,3,1,1,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
9791,1,2,2,1,2,3,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
25467,0,2,1,1,0,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
3681,2,2,2,1,0,4,2,2,2,2,2,2,1,0,2,0,1,1,0,0,0,0,0,1,[1]
38547,4,1,0,0,1,7,10,7,5,2,1,5,1,0,0,4,0,3,0,1,1,1,1,1,[1]
5669,0,2,2,1,1,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
16324,0,2,2,1,1,2,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
11342,0,1,2,1,1,4,4,5,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
18101,1,1,2,1,1,2,2,5,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
1059,0,1,3,1,0,4,2,2,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
26374,0,2,1,1,0,2,2,2,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
33713,1,2,3,2,2,4,5,9,4,4,2,1,4,2,0,1,1,4,3,2,2,3,2,1,[1]
33324,0,1,4,0,0,0,1,4,0,3,10,4,3,2,5,0,3,4,2,3,2,0,0,1,[1]
32696,4,2,4,3,2,6,10,3,10,6,10,3,4,0,2,2,1,2,3,3,0,2,0,1,[1]
33630,2,2,1,0,0,4,9,7,8,0,9,4,2,0,4,1,1,4,1,2,2,0,4,1,[1]
30148,1,2,4,1,2,0,10,6,5,4,7,4,3,0,2,1,2,4,1,2,1,1,0,1,[1]
30156,2,1,6,3,1,1,7,0,3,0,0,2,2,0,3,2,1,1,0,0,1,1,0,1,[1]
18700,0,2,1,2,0,2,2,4,4,4,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
33079,2,1,6,3,0,9,9,1,1,10,4,5,4,0,4,0,0,3,0,1,1,3,0,1,[1]
38726,2,2,0,1,1,1,3,8,2,10,2,3,3,1,1,2,3,2,2,1,1,2,0,1,[1]
