,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
47910,1,2,6,1,0,8,8,6,10,9,3,0,4,2,0,1,2,3,3,0,0,1,0,0,[0]
10764,0,2,1,2,0,2,2,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
21846,2,2,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
85,0,1,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
12113,2,1,1,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
22515,0,2,2,1,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
26531,0,2,6,1,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
7240,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
4140,0,2,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
44079,3,2,5,3,1,6,7,8,5,3,8,2,2,0,0,1,0,2,0,3,1,0,2,0,[0]
8625,0,2,2,2,0,0,1,1,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
42852,1,2,5,3,1,1,1,9,9,0,4,1,3,0,2,0,1,4,0,0,1,2,0,0,[0]
25181,0,2,2,2,0,2,2,1,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
30937,2,1,2,3,2,8,5,6,7,5,5,5,3,1,0,4,3,1,0,0,1,1,3,0,[0]
48490,4,2,5,2,2,3,7,2,1,2,8,2,0,0,3,1,0,1,0,3,2,0,0,0,[0]
51899,0,2,3,3,1,2,3,8,7,3,6,4,3,1,0,2,1,2,1,3,2,0,1,0,[0]
54151,2,2,3,3,0,6,7,5,4,9,6,5,1,2,3,4,3,3,3,2,2,0,2,0,[0]
3991,0,2,2,2,1,2,2,1,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
15261,1,2,1,1,0,1,1,1,1,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
9809,1,1,1,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
1419,1,1,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
20499,1,1,1,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
42401,1,1,6,3,1,3,4,1,4,8,2,0,2,1,4,2,0,1,0,3,2,2,4,0,[0]
18600,0,2,2,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
10401,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,[0]
40119,3,2,1,1,1,4,8,2,7,6,5,1,0,2,5,4,3,1,0,1,0,2,3,0,[0]
26861,1,1,2,1,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
28218,0,2,2,2,1,2,2,2,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
47845,1,1,0,1,2,1,10,0,9,10,10,0,3,2,1,0,3,2,0,0,0,0,2,0,[0]
49219,2,2,2,1,0,9,6,10,3,7,4,4,2,1,0,0,1,2,3,1,2,2,1,0,[0]
45514,2,1,4,1,2,9,7,7,8,6,7,1,2,0,3,1,0,4,0,2,0,3,1,0,[0]
19078,0,2,3,2,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
20794,1,1,1,2,0,3,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,[0]
41639,0,1,0,3,2,6,0,5,3,1,8,3,1,0,4,2,1,4,1,0,0,2,2,0,[0]
42148,1,2,6,2,1,9,3,3,9,6,5,3,4,0,1,0,2,2,3,3,0,1,3,0,[0]
38081,4,2,0,3,0,9,4,3,7,2,9,4,2,2,2,4,2,1,2,3,2,2,0,0,[0]
19277,0,2,2,1,1,1,1,1,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
27227,1,1,1,1,0,1,1,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
52762,2,1,0,0,2,1,0,6,7,2,7,3,0,1,3,2,0,2,3,0,0,1,3,0,[0]
31388,1,1,1,2,0,1,10,0,0,4,2,5,3,1,3,1,3,2,1,1,2,3,1,0,[0]
18733,0,2,2,1,0,2,2,2,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
8429,1,1,3,1,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
22071,0,2,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
3207,1,1,1,2,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
19785,0,2,1,2,1,0,0,1,2,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,[0]
27611,0,2,2,1,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
5372,1,1,2,2,0,2,2,2,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
21106,0,1,3,1,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
29209,0,1,2,2,0,2,1,1,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
13661,2,2,1,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
13381,2,2,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
12301,0,1,3,1,1,3,4,4,4,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
2901,1,1,1,1,0,1,1,4,4,1,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
27602,2,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
20696,0,1,2,2,0,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
53031,4,1,3,0,0,8,1,4,1,2,4,0,1,1,1,3,0,2,2,3,1,2,3,0,[0]
108,0,1,2,2,0,2,2,2,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,[0]
47526,4,1,4,0,1,0,9,10,5,9,1,0,3,0,4,4,0,2,3,1,0,3,2,0,[0]
26033,1,2,1,2,0,2,2,2,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
33089,0,2,5,0,0,3,7,9,10,7,10,1,1,2,3,2,1,2,1,2,2,2,2,0,[0]
11209,2,2,1,2,0,1,1,1,1,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[0]
