,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
47943,0,2,4,2,2,9,9,6,3,6,2,3,0,2,0,1,2,3,1,0,2,0,3,1,[1]
30637,2,1,3,0,2,3,7,10,1,0,0,5,4,2,1,4,0,4,0,3,0,0,0,1,[1]
51022,4,2,2,2,1,0,7,1,6,4,4,3,4,2,5,1,2,3,1,3,0,3,0,1,[1]
52831,0,1,0,3,0,4,0,4,9,1,6,3,1,0,4,4,0,4,1,3,1,2,1,1,[1]
39624,2,1,1,2,0,2,6,2,3,2,6,3,1,2,0,0,2,1,0,3,0,1,1,1,[1]
5485,0,1,3,2,0,4,4,4,4,4,5,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
12346,0,2,1,2,0,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
53650,4,2,6,0,1,4,6,2,6,7,4,0,3,1,5,1,2,3,0,1,0,2,4,1,[1]
25121,0,1,1,1,1,4,2,2,2,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
30126,0,1,4,3,0,4,0,10,4,8,6,1,2,2,4,4,2,2,2,3,0,3,2,1,[1]
5260,0,2,2,2,0,3,4,2,2,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
39905,4,2,0,1,0,6,9,6,7,2,10,5,4,0,1,0,2,1,1,1,0,1,2,1,[1]
47868,2,1,5,0,1,8,8,9,1,5,4,0,0,2,3,3,0,3,0,1,0,2,1,1,[1]
40075,1,1,6,0,0,2,6,10,9,5,2,5,0,1,3,2,0,3,0,3,0,3,2,1,[1]
27654,0,2,3,2,0,4,2,2,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,1,[1]
16294,0,2,1,1,1,2,2,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
35045,4,2,4,2,1,10,6,7,3,7,4,1,1,2,3,0,1,1,0,0,0,2,1,1,[1]
38179,4,2,2,1,0,7,9,3,8,9,6,5,4,0,4,2,0,3,1,1,0,3,2,1,[1]
47049,2,2,2,1,0,10,10,9,4,8,10,4,1,2,2,1,2,2,0,3,2,3,2,1,[1]
40233,0,2,2,2,1,8,1,5,6,1,10,2,4,1,1,2,1,2,1,3,2,2,3,1,[1]
29126,0,2,3,1,1,4,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
53933,4,2,1,1,2,8,8,3,0,3,2,0,2,0,4,1,1,2,0,0,1,3,0,1,[1]
53316,1,2,2,1,0,8,10,6,6,5,1,1,1,2,5,0,1,1,3,3,0,3,0,1,[1]
45799,1,1,1,2,2,7,0,3,10,7,8,0,4,2,0,1,3,2,2,0,2,1,3,1,[1]
52586,3,2,0,2,2,5,1,5,10,10,9,3,4,2,4,4,2,3,2,0,1,1,4,1,[1]
20675,0,1,3,2,0,5,4,4,4,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,[1]
49241,0,1,4,2,2,9,8,9,10,10,0,1,1,0,0,4,0,3,1,2,1,3,1,1,[1]
33504,0,1,6,0,2,8,0,0,6,8,5,1,3,1,2,3,2,3,3,3,2,1,2,1,[1]
50180,0,1,6,0,1,9,5,9,3,8,9,0,0,0,5,4,2,2,1,0,0,0,4,1,[1]
42985,1,2,5,2,1,5,6,10,4,1,10,1,2,0,5,0,0,4,1,1,0,2,0,1,[1]
38684,2,1,2,1,0,1,3,4,6,0,0,2,2,2,3,3,3,1,2,2,2,2,4,1,[1]
41279,1,1,1,1,1,5,4,8,7,5,5,2,1,0,3,4,1,4,1,3,2,2,1,1,[1]
52551,3,2,1,2,2,0,3,8,0,9,4,2,3,1,1,0,0,3,0,1,1,3,4,1,[1]
48390,0,2,2,1,0,7,0,9,10,2,2,5,2,0,5,3,2,4,1,3,0,3,3,1,[1]
