,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,act,pred
33089,0,2,5,0,0,3,7,9,10,7,10,1,1,2,3,2,1,2,1,2,2,2,2,0,[1]
4158,0,2,1,2,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
39985,3,1,6,3,1,8,8,4,2,9,9,5,1,2,3,1,2,1,3,2,1,2,0,0,[1]
33130,1,2,0,2,1,3,2,10,5,7,6,5,4,0,1,2,3,3,3,3,0,1,1,0,[1]
15721,1,1,1,1,1,3,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
38379,2,2,0,3,1,5,3,9,7,5,2,4,3,1,4,0,2,2,1,2,0,2,1,0,[1]
30705,1,1,0,3,0,6,1,4,1,0,5,0,3,0,4,4,0,3,1,2,1,2,3,0,[1]
30721,3,2,4,0,1,2,2,3,4,10,7,0,2,1,1,2,0,4,2,1,2,3,4,0,[1]
8532,1,1,2,2,0,3,4,2,2,2,2,2,0,0,1,0,1,1,0,0,0,0,0,0,[1]
36619,0,1,2,0,1,6,7,1,6,3,3,1,4,0,4,3,1,3,2,2,0,2,1,0,[1]
18271,0,1,2,3,1,5,4,2,2,2,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
39287,4,1,0,0,1,7,2,2,10,3,8,5,2,0,1,3,0,2,0,3,0,0,2,0,[1]
14807,0,1,2,2,0,3,5,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
34564,1,2,3,3,1,3,9,10,8,4,8,2,3,0,1,2,0,4,0,1,0,1,1,0,[1]
36538,0,2,6,3,2,9,0,7,9,5,0,3,3,1,0,1,2,2,1,3,1,2,4,0,[1]
37463,0,2,5,3,0,0,6,1,0,10,8,5,1,2,1,4,2,4,2,1,1,3,3,0,[1]
34618,3,2,2,3,0,1,9,1,3,2,9,2,0,2,4,0,0,4,3,1,0,1,1,0,[1]
31691,1,1,6,2,0,2,9,3,2,7,9,3,2,1,3,4,0,4,3,2,0,0,3,0,[1]
32762,2,1,0,2,2,5,5,2,3,10,8,2,0,2,3,3,1,4,3,3,1,0,4,0,[1]
39854,3,2,0,3,2,2,7,5,3,10,5,3,3,0,1,4,2,4,1,1,2,0,1,0,[1]
2295,1,2,1,1,0,3,4,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
37359,4,1,5,1,1,7,4,2,3,9,8,1,0,0,4,0,1,4,1,1,1,3,0,0,[1]
39741,2,2,2,3,0,4,1,3,9,6,2,1,3,0,5,3,0,1,1,3,2,2,3,0,[1]
20868,0,1,3,1,1,3,4,2,2,4,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
8283,0,1,3,2,1,2,2,2,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
38658,3,1,3,0,0,3,10,10,1,9,4,3,3,0,0,4,3,3,3,1,1,1,0,0,[1]
33911,2,1,4,1,1,8,3,2,3,1,5,3,0,2,5,0,3,4,3,3,1,3,0,0,[1]
11600,0,1,3,2,0,1,1,1,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
22467,0,2,2,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
37035,1,1,4,2,0,6,1,1,5,6,0,2,3,0,4,2,3,2,0,2,2,1,4,0,[1]
10264,0,1,1,3,1,2,2,2,5,4,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
35896,3,2,6,2,1,0,0,5,3,0,0,0,4,1,5,0,3,3,2,1,1,1,4,0,[1]
2251,0,2,2,1,0,4,4,4,2,2,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
11285,0,1,3,2,0,4,4,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
30561,2,1,4,1,2,9,5,7,8,10,9,5,3,2,0,0,0,1,0,0,2,3,2,0,[1]
9955,0,2,2,1,0,1,4,1,2,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
22310,0,2,1,2,0,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
5824,0,2,3,1,2,4,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
3981,0,1,3,2,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
29159,0,2,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,1,0,[1]
14317,1,2,1,2,0,1,1,2,2,2,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
23448,0,2,6,2,1,2,2,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
8833,0,1,2,1,0,4,1,1,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
21840,0,2,2,2,0,3,4,5,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
18925,0,2,2,1,0,4,4,4,4,4,4,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
35296,1,1,1,0,0,3,7,6,0,6,9,2,1,2,3,2,0,1,1,1,2,0,3,0,[1]
31173,2,2,5,2,1,3,4,0,6,3,7,4,3,0,2,4,2,1,2,0,0,3,4,0,[1]
32461,4,1,6,0,1,7,1,9,8,3,1,4,0,1,2,0,2,4,3,1,1,3,4,0,[1]
30586,3,2,4,1,2,2,6,7,4,6,10,0,3,2,2,4,3,3,1,3,1,1,4,0,[1]
30197,4,2,0,3,1,7,7,3,0,4,8,3,4,2,3,1,0,3,0,1,1,0,4,0,[1]
36858,1,1,4,0,1,8,9,6,0,3,9,2,2,1,5,1,3,3,2,3,0,3,4,0,[1]
37390,1,1,1,2,0,9,9,5,0,1,3,5,1,2,0,2,2,2,0,3,2,3,1,0,[1]
38047,4,1,4,0,1,8,10,7,8,10,2,4,3,2,1,3,0,2,0,3,0,2,3,0,[1]
35473,0,2,5,3,2,10,6,9,9,1,8,0,1,1,2,3,1,4,0,0,1,1,0,0,[1]
31432,2,2,2,0,0,7,6,1,1,10,8,3,4,0,5,1,1,4,2,2,0,0,3,0,[1]
38766,2,2,1,2,2,4,0,0,5,0,4,4,1,2,1,0,0,3,2,0,0,3,2,0,[1]
37668,4,1,5,1,0,1,7,10,2,7,5,2,4,2,1,3,3,1,3,2,1,0,4,0,[1]
28821,1,2,2,1,0,2,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,[1]
3069,0,1,3,2,0,3,4,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
27669,0,2,2,2,0,3,4,4,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,[1]
39236,0,2,5,2,0,3,7,10,2,7,5,4,4,2,0,1,2,3,3,3,0,1,1,0,[1]
