,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
4227,0,1,0,0,0,0,7,0,0,0,0,0,[1]
11981,1,0,0,2,1,0,7,9,1,0,0,0,[1]
4566,0,1,1,0,0,0,9,0,0,0,0,0,[1]
618,1,1,0,0,1,0,6,0,0,0,0,0,[1]
9266,1,3,3,0,3,1,9,8,1,0,1,0,[1]
12230,1,3,1,4,0,0,2,9,2,2,2,0,[1]
10355,1,2,1,1,0,0,6,4,1,2,1,0,[1]
13011,0,0,2,3,0,1,6,1,0,2,1,0,[1]
1296,0,1,0,1,0,1,2,0,0,0,0,0,[1]
1892,0,1,0,0,0,0,6,0,0,0,0,0,[1]
15712,0,1,0,6,3,1,7,7,1,0,0,0,[1]
4235,0,1,2,0,0,1,2,1,0,0,0,0,[1]
4203,1,1,1,0,0,0,6,0,0,0,0,0,[1]
2795,0,3,1,3,1,0,1,0,0,0,0,0,[1]
8120,1,0,0,6,4,1,5,8,0,0,0,0,[1]
12224,0,3,0,6,3,0,4,9,2,2,0,0,[1]
6405,0,1,0,0,0,0,9,0,0,0,0,0,[1]
14957,0,3,3,0,3,1,9,7,2,2,0,0,[1]
2973,0,1,0,0,0,0,7,0,0,0,0,0,[1]
9918,1,0,0,3,3,0,5,3,0,1,1,0,[1]
14890,1,1,3,3,0,1,6,7,1,1,2,0,[1]
15887,1,2,0,0,0,1,6,6,0,2,2,0,[1]
5723,0,1,0,0,0,1,9,0,0,0,0,0,[1]
15707,0,1,1,1,1,1,2,8,1,1,0,0,[1]
6040,0,1,1,0,0,0,7,0,0,0,0,0,[1]
16715,0,3,1,4,0,0,3,6,1,0,0,0,[1]
9117,0,2,1,5,0,0,1,0,2,0,1,0,[1]
10858,1,0,1,4,3,0,8,1,0,1,1,0,[1]
8703,0,0,1,0,4,0,3,6,2,1,0,0,[1]
12283,0,3,2,3,4,0,1,6,2,2,1,0,[1]
16586,1,0,3,0,0,1,7,9,0,0,1,0,[1]
16260,1,2,3,6,1,1,1,6,3,0,0,0,[1]
3660,0,1,0,0,0,0,5,0,0,0,0,0,[1]
15496,1,3,1,0,1,1,2,4,1,2,1,0,[1]
4331,1,1,1,1,0,0,4,0,0,0,0,0,[1]
5157,0,1,2,0,0,0,1,0,0,0,0,0,[1]
10401,0,2,0,6,1,1,10,6,0,0,1,0,[1]
12587,1,0,3,0,3,0,5,2,3,2,0,0,[1]
11177,1,1,2,5,1,0,10,9,2,1,0,0,[1]
15107,0,3,2,2,0,1,2,4,3,0,0,0,[1]
14318,1,3,0,1,3,0,4,6,0,1,0,0,[1]
16681,1,3,1,3,3,0,3,8,1,1,1,0,[1]
15404,0,1,3,2,0,1,8,4,0,1,2,0,[1]
3455,1,1,3,0,0,1,6,1,0,0,0,0,[1]
5686,0,1,0,0,0,0,8,0,0,0,0,0,[1]
345,0,2,0,0,0,0,5,0,0,0,0,0,[1]
16796,1,2,2,2,3,0,4,4,0,1,1,0,[1]
10121,0,2,2,0,1,0,5,6,2,1,1,0,[1]
10212,0,1,0,1,1,1,10,8,2,1,2,0,[1]
14773,1,0,1,4,0,0,5,7,2,1,1,0,[1]
10574,1,3,3,3,1,0,6,0,2,0,1,0,[1]
17852,1,3,3,5,0,1,10,4,1,0,0,0,[1]
644,1,2,1,0,0,0,3,0,0,0,0,0,[1]
5191,0,1,1,0,0,0,6,0,0,0,0,0,[1]
8221,0,1,3,4,4,1,9,4,3,2,2,0,[1]
9333,1,2,0,6,0,1,10,1,1,0,0,0,[1]
13038,1,2,3,5,4,0,7,8,3,0,0,0,[1]
12882,0,0,1,1,2,0,8,4,0,1,1,0,[1]
10855,1,2,2,4,2,0,6,6,3,2,1,0,[1]
13629,1,0,1,2,4,1,2,1,2,0,1,0,[1]
918,0,1,1,5,0,0,1,0,0,0,0,0,[1]
17331,1,3,1,6,0,1,7,3,2,2,1,0,[1]
6321,0,0,1,0,0,1,3,0,0,0,0,0,[1]
15736,0,3,3,2,2,0,8,3,1,1,0,0,[1]
14515,1,1,1,4,1,1,9,1,1,1,1,0,[1]
13080,0,3,1,1,2,0,1,9,3,2,0,0,[1]
8695,1,2,1,2,2,0,5,6,1,2,1,0,[1]
17264,0,1,0,6,3,0,10,4,0,1,1,0,[1]
9821,1,1,3,0,0,1,4,6,2,1,1,0,[1]
8391,0,2,1,3,4,1,5,7,0,1,2,0,[1]
7946,1,3,1,2,3,0,10,5,2,1,0,0,[1]
16159,1,2,0,6,2,1,3,7,2,2,1,0,[1]
12914,1,2,0,0,4,1,1,0,1,1,2,0,[1]
17978,1,3,3,2,0,0,3,7,2,0,0,0,[1]
7714,0,2,1,1,3,1,4,9,0,2,1,0,[1]
3782,0,1,0,0,0,1,8,0,0,0,0,0,[1]
15655,1,0,2,5,1,1,2,3,2,1,1,0,[1]
1937,1,2,0,0,0,1,4,0,0,0,0,0,[1]
15651,1,0,3,5,1,1,4,2,0,0,0,0,[1]
14023,1,0,0,3,4,0,4,7,0,2,2,0,[1]
11639,0,0,2,2,0,1,9,9,3,1,0,0,[1]
9089,0,2,0,6,4,0,8,6,3,1,1,0,[1]
15555,1,0,1,1,3,1,4,6,0,2,0,0,[1]
1604,0,1,0,0,1,0,8,0,0,0,0,0,[1]
7039,1,0,2,6,2,0,10,9,2,1,0,0,[1]
16185,0,0,1,6,0,0,7,0,0,1,1,0,[1]
2123,0,1,1,0,0,0,8,0,0,0,0,0,[1]
9270,1,3,2,5,0,1,10,7,0,1,1,0,[1]
2518,0,1,0,0,0,0,7,0,0,0,0,0,[1]
7667,1,0,2,1,4,0,1,3,2,0,0,0,[1]
183,0,2,1,0,0,0,3,0,0,0,0,0,[1]
6295,0,1,0,0,0,0,7,0,0,0,0,0,[1]
6796,0,3,1,3,0,0,1,0,0,0,0,0,[1]
14846,0,0,1,0,0,1,5,5,0,0,1,0,[1]
8640,1,2,0,2,0,1,7,2,3,1,0,0,[1]
14423,1,0,3,2,3,0,4,1,1,2,1,0,[1]
14319,1,1,3,4,4,0,10,2,1,1,2,0,[1]
1993,0,2,0,0,0,0,5,0,0,0,0,0,[1]
16275,0,3,1,0,3,0,9,1,3,2,1,0,[1]
7899,0,2,0,5,1,0,2,4,0,2,2,0,[1]
14776,1,3,0,4,1,0,5,6,1,0,1,0,[1]
8236,1,0,3,2,0,0,4,1,3,2,1,0,[1]
14665,1,1,3,1,4,0,6,9,1,2,0,0,[1]
12572,0,2,2,4,3,0,2,3,2,2,1,0,[1]
9938,1,2,2,1,1,0,9,0,1,1,1,0,[1]
5906,0,2,0,0,3,0,7,0,0,0,0,0,[1]
17486,1,2,2,4,3,1,6,8,0,1,1,0,[1]
8535,0,1,3,0,3,0,1,0,0,1,2,0,[1]
17247,0,2,1,5,0,0,2,3,3,2,0,0,[1]
3301,0,1,0,0,0,0,10,0,0,0,0,0,[1]
12745,1,3,1,3,4,0,5,1,2,2,2,0,[1]
11076,0,0,1,1,0,1,7,0,2,1,2,0,[1]
3791,0,2,0,1,1,0,3,0,0,0,0,0,[1]
14536,0,0,2,5,2,1,9,3,1,1,2,0,[1]
9856,1,1,2,3,3,1,6,5,1,1,1,0,[1]
14815,0,2,2,3,4,1,7,5,0,2,2,0,[1]
2600,0,1,0,0,0,0,6,0,0,0,0,0,[1]
1054,1,1,1,0,0,0,7,0,0,0,0,0,[1]
2574,0,1,0,0,0,0,9,0,0,0,0,0,[1]
2999,0,1,1,0,0,0,6,0,0,0,0,0,[1]
9055,0,2,0,6,1,1,6,5,0,1,1,0,[1]
14946,0,1,1,1,4,1,3,3,2,1,0,0,[1]
9792,0,2,1,4,3,0,10,4,0,0,1,0,[1]
7381,0,2,1,0,3,1,1,0,3,0,1,0,[1]
15361,1,1,0,4,1,1,7,7,2,1,1,0,[1]
9932,1,3,0,3,2,1,1,2,1,0,1,0,[1]
7539,0,0,3,3,2,0,6,1,3,0,2,0,[1]
7786,0,1,2,6,2,1,2,4,3,0,1,0,[1]
8451,1,2,1,4,2,1,10,2,0,2,2,0,[1]
15299,0,1,2,2,2,1,7,0,3,1,0,0,[1]
11393,1,1,1,6,1,1,3,9,3,2,1,0,[1]
1533,0,2,1,5,1,0,6,0,0,0,0,0,[1]
11688,1,3,3,2,1,1,1,6,1,2,1,0,[1]
1475,1,1,0,0,0,1,3,0,0,0,0,0,[1]
14701,1,0,0,4,2,1,9,1,1,2,0,0,[1]
9518,1,0,0,6,1,0,2,1,2,0,1,0,[1]
12857,1,0,0,5,0,0,2,9,1,2,2,0,[1]
10716,1,0,3,3,0,1,5,2,2,0,0,0,[1]
959,0,1,0,0,0,0,5,0,0,0,0,0,[1]
5489,0,1,3,1,0,1,2,0,0,0,0,0,[1]
11724,1,0,2,2,3,0,6,0,3,0,0,0,[1]
16680,0,1,2,3,1,1,9,4,3,2,2,0,[1]
16811,0,1,2,5,4,0,9,1,1,2,0,0,[1]
15798,0,0,2,6,2,1,6,8,3,1,1,0,[1]
17244,1,3,1,0,3,1,10,6,0,2,2,0,[1]
7526,0,3,1,4,1,0,7,5,2,1,1,0,[1]
12654,0,0,0,0,4,1,4,9,1,2,2,0,[1]
10237,1,2,2,4,4,1,10,1,1,1,2,0,[1]
490,0,1,0,0,0,1,3,0,0,0,0,0,[1]
14690,0,2,0,1,4,1,6,8,3,1,2,0,[1]
2948,0,1,0,0,0,1,3,0,0,0,0,0,[1]
