,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
5664,0,1,1,4,0,1,5,0,0,0,0,1,[1]
17911,0,0,2,2,0,0,8,9,3,0,2,1,[1]
4859,0,2,1,1,1,1,2,0,0,0,0,1,[1]
227,0,1,1,0,0,0,8,0,0,0,0,1,[1]
5024,0,2,0,2,1,1,8,0,0,0,0,1,[1]
13352,1,2,0,3,1,1,8,1,1,2,0,1,[1]
9531,1,3,0,0,0,1,4,5,0,2,2,1,[1]
4108,0,1,0,0,1,0,9,0,0,0,0,1,[1]
16211,1,0,3,5,2,0,3,6,0,0,0,1,[1]
5469,0,1,0,0,1,1,9,0,1,0,0,1,[1]
5398,0,1,0,0,0,0,8,0,0,0,0,1,[1]
12532,1,1,2,0,1,1,9,2,3,2,0,1,[1]
11029,1,1,3,3,0,0,9,7,1,2,0,1,[1]
8765,1,3,1,0,2,0,10,7,3,2,0,1,[1]
7026,0,2,1,6,0,1,7,2,2,0,0,1,[1]
3050,0,2,1,2,0,0,3,0,0,0,0,1,[1]
14607,0,2,0,5,2,0,6,1,3,0,0,1,[1]
10703,0,2,0,4,1,1,4,3,1,1,2,1,[1]
4808,0,1,0,0,0,0,7,0,0,0,0,1,[1]
13884,1,2,3,1,2,0,1,1,2,1,0,1,[1]
9923,1,2,1,6,1,1,6,2,0,2,1,1,[1]
17250,1,2,0,1,4,1,4,6,0,2,1,1,[1]
13691,0,0,3,2,2,0,1,5,3,1,2,1,[1]
9499,1,0,1,2,3,0,3,6,3,2,1,1,[1]
5166,0,1,0,0,1,0,3,0,0,0,0,1,[1]
15285,0,3,2,6,0,1,6,7,1,2,1,1,[1]
11532,0,3,2,0,0,0,6,6,2,0,0,1,[1]
4178,0,1,0,0,0,1,9,2,0,0,0,1,[1]
5094,0,1,0,0,0,0,5,0,0,0,0,1,[1]
11268,0,1,0,0,4,0,10,3,0,2,2,1,[1]
3247,0,1,0,0,1,0,7,0,0,0,0,1,[1]
11991,0,1,2,5,2,0,6,0,2,1,2,1,[1]
10398,1,1,2,2,1,1,8,2,2,0,2,1,[1]
15330,1,3,1,1,0,0,4,0,3,2,2,1,[1]
16044,0,0,0,5,3,0,1,4,1,0,2,1,[1]
17240,0,1,1,3,4,0,10,9,0,1,1,1,[1]
13517,0,2,0,0,3,1,6,1,0,2,0,1,[1]
911,0,1,0,0,0,0,6,0,0,0,0,1,[1]
16035,1,0,1,0,0,0,6,4,0,0,2,1,[1]
7350,1,3,0,1,0,1,10,4,2,1,2,1,[1]
1012,0,1,0,0,0,0,10,0,0,0,0,1,[1]
3272,0,1,0,0,0,0,7,0,0,0,0,1,[1]
8782,1,1,2,5,4,0,10,7,3,1,2,1,[1]
6142,0,1,0,0,0,0,8,0,0,0,0,1,[1]
2336,0,1,0,0,0,0,6,0,0,0,0,1,[1]
15070,0,2,0,4,1,0,9,9,1,1,0,1,[1]
10601,0,1,3,1,2,0,5,9,2,1,2,1,[1]
1377,0,1,0,0,0,0,7,0,0,0,0,1,[1]
12841,1,0,2,1,0,1,8,9,3,2,0,1,[1]
5377,0,1,1,0,0,0,7,0,0,0,0,1,[1]
4280,0,2,1,0,0,0,9,0,0,0,0,1,[1]
12422,1,2,2,1,3,1,10,5,3,1,1,1,[1]
4760,0,2,2,0,0,0,2,0,0,0,0,1,[1]
11005,1,2,2,1,0,0,4,5,1,1,0,1,[1]
2362,0,1,0,0,0,0,6,0,0,0,0,1,[1]
14808,1,3,0,5,3,1,6,3,1,0,2,1,[1]
3013,0,1,0,0,0,0,7,0,0,0,0,1,[1]
1428,0,1,0,0,1,1,9,0,0,0,0,1,[1]
2465,1,1,0,0,0,0,9,0,0,0,0,1,[1]
14095,1,1,3,1,2,0,1,0,2,0,1,1,[1]
8472,1,3,2,3,4,0,1,8,3,0,1,1,[1]
1117,0,1,0,0,1,0,8,0,0,0,0,1,[1]
1955,0,1,0,0,0,0,10,0,0,0,0,1,[1]
12811,0,2,3,5,0,0,8,9,1,0,2,1,[1]
3489,0,1,0,0,0,0,7,0,0,0,0,1,[1]
7759,0,0,1,2,1,1,3,1,3,0,2,1,[1]
3741,1,1,0,0,1,0,10,0,0,0,0,1,[1]
14852,1,3,1,3,2,1,8,8,1,1,1,1,[1]
7638,0,0,1,5,1,1,4,4,2,0,0,1,[1]
13308,1,3,0,0,4,0,8,6,0,0,0,1,[1]
2014,0,1,0,0,0,0,7,0,0,0,0,1,[1]
5510,1,2,1,1,1,1,4,0,0,0,0,1,[1]
6096,0,1,0,0,0,0,10,0,0,0,0,1,[1]
16306,1,3,0,0,2,0,10,8,0,1,1,1,[1]
7930,0,1,3,0,1,0,1,8,1,2,2,1,[1]
1163,0,1,0,0,0,0,6,0,0,0,0,1,[1]
13610,0,1,3,4,2,0,6,5,1,1,1,1,[1]
3223,0,1,0,0,2,0,10,0,0,0,0,1,[1]
10752,1,3,1,2,2,0,9,1,3,0,0,1,[1]
9751,1,0,0,3,0,1,2,3,3,1,1,1,[1]
12688,0,2,3,4,2,1,6,3,3,2,2,1,[1]
8925,0,2,3,4,0,0,8,7,1,1,1,1,[1]
9645,0,3,0,6,2,0,5,2,3,0,2,1,[1]
15177,1,3,2,1,0,0,8,5,2,0,0,1,[1]
9377,1,3,0,4,3,1,4,3,3,1,1,1,[1]
5607,0,0,3,0,0,0,9,0,0,0,0,1,[1]
3796,0,1,1,0,2,0,8,0,0,0,0,1,[1]
2940,0,1,1,0,0,1,10,0,0,0,0,1,[1]
12989,1,0,3,0,3,0,3,7,1,1,1,1,[1]
4474,0,1,0,0,0,1,3,0,0,0,0,1,[1]
12708,0,0,3,2,3,0,9,5,3,0,2,1,[1]
5000,0,1,1,0,1,0,9,0,0,0,0,1,[1]
5337,0,1,2,0,1,0,9,0,0,0,0,1,[1]
2320,0,2,0,0,1,0,2,0,0,0,0,1,[1]
16519,1,2,3,1,3,1,3,9,0,1,2,1,[1]
3531,0,1,0,0,0,0,6,0,0,0,0,1,[1]
17983,1,0,2,4,0,1,3,3,3,0,1,1,[1]
4286,0,1,2,0,0,1,8,0,0,0,0,1,[1]
5326,0,1,1,0,0,0,6,0,0,0,0,1,[1]
15400,0,1,0,6,0,0,9,9,2,1,1,1,[1]
248,0,0,0,0,0,0,8,0,0,0,0,1,[1]
16736,0,3,0,3,1,1,7,6,3,2,1,1,[1]
12341,1,3,3,1,3,1,10,5,2,2,1,1,[1]
15452,1,0,1,4,3,0,4,9,0,0,2,1,[1]
16391,0,3,1,1,4,0,8,1,0,0,2,1,[1]
575,0,1,0,0,1,0,10,0,0,0,0,1,[1]
12624,1,2,2,0,3,0,9,2,0,0,2,1,[1]
4993,0,1,1,0,1,0,8,0,0,0,0,1,[1]
17393,0,3,1,3,3,1,2,7,3,2,0,1,[1]
3877,0,2,1,0,0,0,6,0,0,0,0,1,[1]
12839,0,1,3,2,0,1,3,6,0,0,0,1,[1]
5322,0,0,1,0,0,0,3,0,0,0,0,1,[1]
11191,1,2,2,6,0,1,4,9,1,2,0,1,[1]
13154,0,3,2,5,1,1,5,4,3,2,0,1,[1]
11896,1,2,3,3,0,0,3,9,0,2,2,1,[1]
9510,1,1,1,6,2,1,10,9,0,1,0,1,[1]
993,0,2,0,0,2,0,10,0,0,0,0,1,[1]
8040,0,3,2,0,1,1,10,4,3,2,2,1,[1]
16625,1,3,3,6,1,0,1,1,1,1,2,1,[1]
