,sexC,ageC,raceC,MC,priors_count_C,c_charge_degree,decile_score,c_days_from_compas_C,juv_fel_count_C,juv_misd_count_C,juv_other_count_C,act,pred
3886,1,1,1,0,0,1,5,0,0,0,0,1,[0]
1217,0,1,0,0,0,0,3,0,0,0,0,1,[0]
7781,0,0,3,0,1,1,10,0,0,1,1,1,[0]
7775,1,1,0,6,4,0,9,0,0,0,0,1,[0]
6450,0,2,1,0,0,0,1,0,0,0,0,1,[0]
6343,0,1,2,0,0,1,7,0,0,0,0,1,[0]
9887,1,2,2,2,4,1,9,3,2,1,0,1,[0]
1958,0,1,2,0,0,0,4,0,0,0,0,1,[0]
859,0,1,0,1,0,0,1,0,0,0,0,1,[0]
8594,0,1,2,3,0,1,5,9,2,1,1,1,[0]
8738,1,0,1,0,3,0,3,3,3,1,0,1,[0]
4437,0,1,0,1,1,0,5,0,0,0,0,1,[0]
8460,1,3,1,0,3,0,5,0,2,2,2,1,[0]
3059,0,1,0,0,0,0,2,0,0,0,0,1,[0]
7565,1,1,0,6,1,0,1,2,0,0,2,1,[0]
9781,0,2,3,5,4,0,4,5,1,1,2,1,[0]
286,0,1,0,0,0,0,3,0,0,0,0,1,[0]
3588,0,1,1,0,1,0,6,0,0,0,0,1,[0]
4146,1,1,1,0,0,1,5,0,0,0,0,1,[0]
7437,1,1,3,0,3,0,2,3,3,2,0,1,[0]
2116,0,2,2,0,1,0,7,0,0,0,0,1,[0]
6237,0,2,0,0,0,0,1,0,0,0,0,1,[0]
6525,0,1,1,0,0,0,2,0,0,0,0,1,[0]
7737,0,0,3,5,3,1,6,8,0,0,2,1,[0]
6005,1,1,2,0,1,0,1,0,0,0,0,1,[0]
9727,0,0,2,6,1,1,10,2,1,0,0,1,[0]
3554,0,3,1,0,1,0,4,0,0,0,0,1,[0]
876,0,2,0,0,0,0,1,0,0,0,0,1,[0]
5482,0,2,1,5,1,1,4,0,0,0,0,1,[0]
7691,1,0,3,5,0,1,4,7,3,1,2,1,[0]
6312,1,1,2,0,0,0,3,0,0,0,0,1,[0]
956,0,1,2,0,0,1,7,0,0,0,0,1,[0]
7228,0,0,3,5,1,1,8,0,2,0,2,1,[0]
1987,0,0,1,0,0,0,2,0,0,0,0,1,[0]
1338,0,1,0,0,0,0,1,0,0,0,0,1,[0]
7878,0,3,0,3,4,0,3,5,2,2,0,1,[0]
2126,0,2,0,0,0,1,1,0,0,0,0,1,[0]
5048,0,1,1,0,0,0,3,0,0,0,0,1,[0]
7957,0,0,2,0,2,0,3,4,3,2,0,1,[0]
9939,1,3,0,5,1,0,5,0,0,0,2,1,[0]
8477,0,0,1,5,3,1,3,9,0,1,0,1,[0]
7091,1,0,1,2,1,1,10,0,0,2,0,1,[0]
8897,0,0,2,4,1,0,7,1,3,2,0,1,[0]
3832,0,2,0,0,0,1,6,0,0,0,0,1,[0]
2227,0,1,1,0,0,0,2,0,0,0,0,1,[0]
4228,0,0,1,0,0,1,3,9,0,0,0,1,[0]
6936,0,0,1,5,3,0,1,6,2,0,0,1,[0]
4363,0,1,0,0,0,0,3,0,0,0,0,1,[0]
6159,1,2,1,0,0,1,1,0,0,0,0,1,[0]
5769,0,1,1,1,0,0,1,0,0,0,0,1,[0]
5174,0,1,0,0,0,0,3,0,0,0,0,1,[0]
1883,0,2,0,0,0,0,3,0,0,0,0,1,[0]
2550,0,1,1,4,0,0,2,0,0,0,0,1,[0]
1410,0,1,0,0,0,1,3,0,0,0,0,1,[0]
7504,0,1,3,5,4,1,1,8,1,0,0,1,[0]
5134,0,1,1,0,0,1,2,0,0,0,0,1,[0]
1893,0,1,1,0,0,1,2,0,0,0,0,1,[0]
1546,0,1,1,2,1,0,6,0,0,0,0,1,[0]
8058,1,3,2,1,1,0,10,2,2,1,2,1,[0]
8676,0,2,3,5,1,1,8,0,0,1,2,1,[0]
7023,1,1,2,1,3,1,1,4,3,1,2,1,[0]
8516,1,2,1,4,3,1,6,1,3,2,0,1,[0]
1170,1,1,0,0,0,0,8,0,0,0,0,1,[0]
1939,0,1,2,0,2,0,10,0,0,0,0,1,[0]
2090,1,1,2,2,0,1,3,0,0,0,0,1,[0]
8787,0,1,2,3,1,0,8,8,1,1,1,1,[0]
7881,0,1,3,6,1,0,6,2,2,1,0,1,[0]
550,1,2,1,5,0,1,1,0,0,0,0,1,[0]
5143,0,1,0,0,0,1,3,0,0,0,0,1,[0]
4571,0,2,1,0,0,0,1,0,0,0,0,1,[0]
9530,0,1,1,4,2,1,10,7,3,0,2,1,[0]
994,0,1,0,0,0,0,3,0,0,0,0,1,[0]
8527,1,3,1,6,3,1,10,8,1,2,1,1,[0]
7510,1,2,3,2,2,1,9,6,0,2,2,1,[0]
7532,1,1,2,4,1,1,8,3,1,0,0,1,[0]
3123,0,1,1,0,1,0,5,0,0,0,0,1,[0]
397,0,1,1,0,0,1,2,0,0,0,0,1,[0]
6011,0,2,1,0,0,1,1,0,0,0,0,1,[0]
9176,0,1,3,2,3,0,1,2,3,2,1,1,[0]
2040,0,2,0,2,2,0,6,0,0,0,0,1,[0]
8814,1,2,2,5,0,1,5,2,2,0,1,1,[0]
9803,0,3,0,0,0,0,9,0,2,2,1,1,[0]
5468,1,2,1,0,0,1,2,0,0,0,0,1,[0]
6218,0,1,1,0,0,0,3,0,0,0,0,1,[0]
9437,0,1,1,5,2,1,1,4,0,0,2,1,[0]
7441,0,0,1,5,3,0,7,8,0,1,0,1,[0]
