execution time
500 23.517457962036133 38.17289590835571
600 7.319442987442017 20.84993004798889
700 16.495986223220825 41.70340085029602
800 13.221752166748047 45.50062704086304
900 10.58954381942749 41.47901105880737
1000 14.116152048110962 105.08321809768677
1100 70.73454284667969 248.50673270225525
1200 95.16695189476013 371.6728699207306


number of patterns
500 648288 890443
600 286060 521563
700 620426 982619
800 539487 986631
900 430519 827981
1000 567785 1134723
1100 738339 1437901
1200 1150450 2197305
