school_C,sex_C,age_C,address_C,famsize_C,Pstatus_C,Medu_C,Fedu_C,Mjob_C,Fjob_C,reason_C,guardian_C,traveltime_C,studytime_C,failures_C,schoolsup_C,famsup_C,paid_C,activities_C,nursery_C,higher_C,internet_C,romantic_C,famrel_C,freetime_C,goout_C,Dalc_C,Walc_C,health_C,absences_C,G1_C,G2_C,G3_C,G1,G2,G3,rank
0,0,0,0,1,0,4,3,1,2,1,0,1,4,0,1,1,1,0,0,0,0,1,4,2,2,1,1,2,0,1,1,1,19,19,20,1.0
0,0,0,0,1,0,0,2,2,2,0,1,3,2,1,0,1,0,0,0,0,1,0,3,3,1,3,5,5,52,1,1,0,11,14,20,2.0
0,1,1,0,1,1,0,1,4,0,1,1,2,2,2,0,1,0,1,1,0,1,0,2,5,2,5,1,4,56,1,1,1,3,17,20,3.0
0,0,0,0,0,1,4,2,4,0,2,0,1,4,3,0,1,0,1,0,1,1,0,4,2,1,2,3,1,41,0,0,0,5,14,20,4.0
0,0,0,0,0,0,1,4,4,3,2,1,4,2,0,0,1,0,1,1,0,0,0,1,3,5,2,3,3,27,0,0,0,4,3,20,5.0
0,1,0,1,0,0,4,0,3,3,2,2,1,2,1,1,1,0,1,0,0,0,0,1,2,2,3,4,3,47,0,1,1,15,3,20,6.0
0,0,1,0,0,0,0,0,0,1,1,0,3,1,0,1,1,0,1,1,1,0,1,5,3,5,2,2,3,24,0,1,0,11,18,20,7.0
1,0,1,0,0,0,1,4,3,4,2,2,4,1,2,1,1,0,1,0,1,0,0,5,1,5,5,4,5,57,1,1,1,10,1,20,8.0
0,0,1,1,1,1,0,2,1,4,0,1,3,3,1,1,1,0,0,1,1,1,0,3,3,2,5,4,4,49,0,1,0,10,18,20,9.0
1,0,0,0,1,1,3,2,3,1,0,0,4,4,0,0,1,1,1,1,1,0,0,1,1,4,5,5,4,73,0,0,1,11,16,20,10.0
0,1,0,1,0,1,3,4,4,4,0,1,1,1,2,1,1,0,0,1,1,1,0,1,2,5,1,3,3,42,1,0,1,18,8,20,11.0
0,0,1,0,1,1,1,3,3,4,0,0,4,4,1,0,1,1,0,0,0,0,0,5,5,5,1,3,1,32,1,1,0,10,15,20,12.0
